item_id,sku,category_id,aspect,reason
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,"Personalization Instructions","not a personalized product"
256470618737,ZKT-TKRHBCCFZ-SML-BLCK,52373,Theme,"plain utility key ring, no theme"
256470618745,MCN-REFLTTAPEPATCH-PARENT,36120,"Mounting Type","reflective patches, not hardware-mounted"
256476123885,MCN-GADWNCLN10OZ-10OZ-HVAR,259621,"Personalization Instructions","not a personalized product"
256476123885,MCN-GADWNCLN10OZ-10OZ-HVAR,259621,Theme,"utility down cleaner, no theme"
256495157311,MCN-MTCARTRC-5FT-CLR-PARENT,36120,"Mounting Type","repair tape, not hardware-mounted"
256496193766,SON-20OZERPMH-STD,20763,"Personalization Instructions","not a personalized product"
256500167211,SON-3IN1CUSKFS-3PC-ONE-SLVR,87133,"Stove Type Compatibility","utensil set, not cookware"
256500167211,SON-3IN1CUSKFS-3PC-ONE-SLVR,87133,"Surface Coating","plain stainless utensils, no special coating"
256508244300,SON-RKBRPRBF8828HK-12PC-SML-SLVR,39057,"Handle Material","replacement blades only, no handle"
256508244300,SON-RKBRPRBF8828HK-12PC-SML-SLVR,39057,"Item Diameter","flat blades, no diameter"
256508244301,SON-TROWELKNEELINGPADCOMBO,75669,"Seat Depth","kneeling pad, not a seat"
256508244301,SON-TROWELKNEELINGPADCOMBO,75669,"Seat Height","kneeling pad, not a seat"
256508244301,SON-TROWELKNEELINGPADCOMBO,75669,"Seating Capacity","kneeling pad, not a seat"
256508244305,SON-DOUBLEENDEDSTEELSPATULA,185171,"Expiration Date","stainless steel instrument, doesn't expire"
256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,40587,Character,"plain gym towel, no licensed character"
256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,40587,"Character Family","plain gym towel, no character family"
256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,40587,"Number of Items in Set","single towel, not a set"
256508244309,MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL,40587,"Personalization Instructions","not a personalized product"
256508244319,SON-TS2ISSCS-6PC,20761,"Item Diameter","spring clamps, jaw opening not a diameter"
256508244319,SON-TS2ISSCS-6PC,20761,"Personalization Instructions","not a personalized product"
256508244327,SON-WBSTAS-28PC-28PC-BRNZ,46413,Voltage,"tips/stencil accessory set, not powered"
256508244336,SON-82SSSS-BUN-HPN,43220,"Blade Material","sharpening stone, not a bladed tool"
256508244336,SON-82SSSS-BUN-HPN,43220,Dexterity,"sharpening stone, not hand-specific"
256508244336,SON-82SSSS-BUN-HPN,43220,"Handle Material","stone, no handle"
256508244336,SON-82SSSS-BUN-HPN,43220,Tang,"sharpening stone, not a bladed tool with a tang"
256508244348,SON-DTCBAU-12PC-SML-WHT-2,29509,Theme,"plain disposable towels, no theme"
256508244356,SON-ESSBL-LG-SLVR,87100,"EPA Registration Number","emergency mylar bag, not a pesticide"
256508244356,SON-ESSBL-LG-SLVR,87100,"Fill Power","mylar bag, no down fill"
256508244356,SON-ESSBL-LG-SLVR,87100,"Hip Girth","emergency bag, not fit-rated by body dimensions"
256508244356,SON-ESSBL-LG-SLVR,87100,R-Value,"mylar bag, no R-value insulation rating"
256508244356,SON-ESSBL-LG-SLVR,87100,"Shoulder Girth","emergency bag, not fit-rated by body dimensions"
256508244356,SON-ESSBL-LG-SLVR,87100,"Stuff Sack Size","emergency bag, no stuff sack"
256508244356,SON-ESSBL-LG-SLVR,87100,"Zipper Location","emergency bag, no zipper"
256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,46282,"Making Method","standard molded board, not a relevant differentiator"
256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,46282,Pattern,"plain board, no decorative pattern"
256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,46282,"Personalization Instructions","not a personalized product"
256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,46282,Theme,"plain utility cutting board, no theme"
256508244360,UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK,46282,"Wood Tone","plastic, not wood"
256508244362,SON-AOPAKR-SML-SLVR,52373,Character,"plain brass key ring, no licensed character"
256508244362,SON-AOPAKR-SML-SLVR,52373,"Character Family","plain brass key ring, no character family"
256508244362,SON-AOPAKR-SML-SLVR,52373,Pattern,"plain key ring, no decorative pattern"
256508244362,SON-AOPAKR-SML-SLVR,52373,"Personalization Instructions","not a personalized product"
256508244362,SON-AOPAKR-SML-SLVR,52373,Theme,"plain utility key ring, no theme"
256508244379,SON-BGMN-LG-BLCK,20725,"Handle Material","grill mat, no handle"
256508244379,SON-BGMN-LG-BLCK,20725,"Head Material","grill mat, no head"
256508244379,SON-BGMN-LG-BLCK,20725,"Personalization Instructions","not a personalized product"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,Accents,"plain carabiner keychain, no decorative accents"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,Character,"plain carabiner, no licensed character"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,"Character Family","plain carabiner, no character family"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,Pattern,"plain carabiner, no decorative pattern"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,"Personalization Instructions","not a personalized product"
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,Theme,"plain utility carabiner, no theme"
256508244417,SON-BLE-BBQMATS-BLK-2PC,20725,"Handle Material","grill mat, no handle"
256508244417,SON-BLE-BBQMATS-BLK-2PC,20725,"Head Material","grill mat, no head"
256508244417,SON-BLE-BBQMATS-BLK-2PC,20725,"Personalization Instructions","not a personalized product"
256508244457,SON-BFTOUMT-MED-BLCK,20725,"Personalization Instructions","not a personalized product"
256508244468,SON-SGSURSB-10PC-11-MTL,104229,"Handle Number","replacement blades only, no handle"
256508244509,SON-DBSRT-12PC-SML-SLVR-IR-TT,260207,Voltage,"manual rotary accessory burrs, not powered"
256508701447,ASR-BFTOU-BUN-3PK-STD-SLVR,20725,"Personalization Instructions","not a personalized product"
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,20725,"Handle Material","grill mat, no handle"
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,20725,"Head Material","grill mat, no head"
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,20725,"Personalization Instructions","not a personalized product"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,Capacity,"sharpening burr, not a chainsaw"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,"Engine Size","sharpening burr, not a chainsaw engine"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,"Engine Type","sharpening burr, not a chainsaw engine"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,"Guide Bar Length","sharpening burr, not a chainsaw"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,Horsepower,"sharpening burr, no horsepower"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,Power,"manual sharpening burr, no power rating"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,"Power Source","manual sharpening burr, no power source"
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,Voltage,"manual sharpening burr, no voltage"
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,20641,"Making Method","standard molded peeler, not a relevant differentiator"
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,20641,"Set Includes","single peeler, not a set"
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,177895,Theme,"plain clear repair patches, no theme"
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,177895,"Visible Logo","clear repair patches, no visible logo"
256510041695,SON-ACIDBRUSHSET-12PC1,183161,"Wood Type","metal-handle acid brushes, not a wood product"
256510041710,SHM-KIDFUN-REFLECTIONPAPER,20164,"Personalization Instructions","not a personalized product"
256510041714,SON-ANGULAR-SCISSORS,101915,"Hair Type","sewing/embroidery scissors, not for cutting hair"
256510041721,SON-SPORTS-BELT-8INCH,158951,"Expiration Date","sports belt, durable, doesn't expire"
256510041721,SON-SPORTS-BELT-8INCH,158951,"Item Diameter","flat sports belt, no diameter"
256510041773,SON-STEELDIGGER-GRN-AMZ-HPN,118867,"Personalization Instructions","not a personalized product"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Accents,"plain buckle, no decorative accents"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Capacity,"buckle, not a bag with capacity"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"EPA Registration Number","buckle, not a pesticide"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Event,"buckle, not event-specific"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Event Type","buckle, not event-specific"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Frame Material","buckle, no frame"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Number of Dividers","buckle, not a bag"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Number of Pockets","buckle, not a bag"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Pocket Type","buckle, no pockets"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Position,"buckle, position not a product spec"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Season,"buckle, not season-specific"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Sport/Activity,"general buckle, not a sport item"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Strap Length","buckle, not a strap"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,Team,"not a sports team product"
256510041789,MCN-WINCHBUCKLE-PARENT,181379,"Trim Material","plain buckle, no decorative trim"
256510041808,DLX-NAILFILES-18PC,11872,"Personalization Instructions","not a personalized product"
256510047585,SON-PHONESTAND-FL89026TL,112581,"Bulb Shape Code","integrated LED lamp, no replaceable bulb"
256510047585,SON-PHONESTAND-FL89026TL,112581,Character,"plain functional lamp, no character"
256510047585,SON-PHONESTAND-FL89026TL,112581,"Character Family","plain functional lamp, no character family"
256510047585,SON-PHONESTAND-FL89026TL,112581,"EC Range","EU energy classification, not applicable to US product"
256510047585,SON-PHONESTAND-FL89026TL,112581,"EPREL Registration Number","EU registration, not applicable"
256510047585,SON-PHONESTAND-FL89026TL,112581,Pattern,"plain functional lamp, no decorative pattern"
256510047585,SON-PHONESTAND-FL89026TL,112581,"Personalization Instructions","not a personalized product"
256510047585,SON-PHONESTAND-FL89026TL,112581,"Sensor Type","touch-switch lamp, no motion/light sensor"
256510047585,SON-PHONESTAND-FL89026TL,112581,Theme,"plain functional lamp, no theme"
256510047597,MCN-SEAM-SEALANT-SILNYLON-PATCHES-BUN,36120,"Mounting Type","sealant + patches, not hardware-mounted"
256510047611,SON-FIRSTAIDKIT-100PC,75035,"Personalization Instructions","not a personalized product"
256510047624,SON-POLISHINGWHEEL-2IN,42266,"Battery Capacity","buff wheel accessory, no battery"
256510047624,SON-POLISHINGWHEEL-2IN,42266,"Battery Technology","buff wheel accessory, no battery"
256510047624,SON-POLISHINGWHEEL-2IN,42266,Power,"buff wheel accessory, not self-powered"
256510047624,SON-POLISHINGWHEEL-2IN,42266,Voltage,"buff wheel accessory, not electric"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Accents,"webbing strap accessory, no decorative accents"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Capacity,"strap accessory, not a bag with capacity"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"EPA Registration Number","strap accessory, not a pesticide"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Event,"strap accessory, not event-specific"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Event Type","strap accessory, not event-specific"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Frame Material","strap accessory, no frame"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Number of Dividers","strap accessory, not a bag"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Number of Pockets","strap accessory, not a bag"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Pocket Type","strap accessory, no pockets"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Position,"strap accessory, position not a product spec"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Season,"strap accessory, not season-specific"
256510047628,MCN-STRAP-TENDER-AMZN,36109,Team,"not a sports team product"
256510047628,MCN-STRAP-TENDER-AMZN,36109,"Trim Material","plain strap accessory, no decorative trim"
256510047655,SON-KCIPHAC-275-ASSRTD,75041,"Personalization Instructions","not a personalized product"
256510047655,SON-KCIPHAC-275-ASSRTD,75041,Theme,"plain utility pill holder, no theme"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"Bulb Shape Code","integrated LED work light, no replaceable bulb"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"EC Range","EU energy classification, not applicable to US product"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"EPREL Registration Number","EU registration, not applicable"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"LED Chip Code","consumer work light, LED chip code not a relevant spec"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"Personalization Instructions","not a personalized product"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"Sensor Type","basic work light, no motion/light sensor"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"Smart Home Compatibility","basic non-smart work light"
256510047693,SON-LEDWORKLIGHT-LARGE-BLACKORANGE,183393,"Smart Home Protocol","basic non-smart work light, no smart protocol"
256510047719,SON-SHOCKCORD-30FT,109492,"Hook Material","bulk shock cord sold without hooks"
256510047719,SON-SHOCKCORD-30FT,109492,"Stretched Bungee Length","sold as cord by length, not a pre-made bungee"
256510047926,4SN-BEAUTYTOOLKIT-9PC-BUN,11872,"Personalization Instructions","not a personalized product"
256510047928,MCN-MBMPRK-STD-PARENT,36120,"Mounting Type","repair patches, not hardware-mounted"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,Character,"string light boxes, no licensed character"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,"Character Family","string light boxes, no character family"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,"LED Chip Code","consumer string lights, LED chip code not a relevant spec"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,"Sensor Type","basic string lights, no motion/light sensor"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,"Smart Home Compatibility","basic non-smart string lights"
256510047954,SON-CINEMA-LIGHTBOX-20BX,183394,"Smart Home Protocol","basic non-smart string lights, no smart protocol"
256510047955,4SN-CALLUSREMOV-BLU-42121,11872,"Personalization Instructions","not a personalized product"
256510047965,MCN-MEMNORABC-2OZ-CLR-2,260134,"Power Source","liquid odor eliminator spray, no power source"
256510047965,MCN-MEMNORABC-2OZ-CLR-2,260134,Scent,"odor eliminator, unscented by design"
256510047966,SON-100PKZIPLOCKBAG-PARENT,43504,Pattern,"plain storage bags, no decorative pattern"
256510047966,SON-100PKZIPLOCKBAG-PARENT,43504,"Personalization Instructions","not a personalized product"
256510047966,SON-100PKZIPLOCKBAG-PARENT,43504,Theme,"plain utility storage bags, no theme"
256510047992,MCN-ULCOMMICFIBTOW-PARENT-HPN,181398,"Set Includes","single towel, not a set"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,"Item Diameter","rectangular cutting board, no diameter"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,"Making Method","standard molded board, not a relevant differentiator"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,Pattern,"plain board, no decorative pattern"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,"Personalization Instructions","not a personalized product"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,Theme,"plain utility cutting board, no theme"
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,46282,"Wood Tone","plastic, not wood"
256510048011,MET-PCLC-PARENT,181379,Accents,"cord locks accessory, no decorative accents"
256510048011,MET-PCLC-PARENT,181379,Capacity,"cord locks, not a bag with capacity"
256510048011,MET-PCLC-PARENT,181379,"EPA Registration Number","cord locks, not a pesticide"
256510048011,MET-PCLC-PARENT,181379,Event,"cord locks, not event-specific"
256510048011,MET-PCLC-PARENT,181379,"Event Type","cord locks, not event-specific"
256510048011,MET-PCLC-PARENT,181379,"Frame Material","cord locks, no frame"
256510048011,MET-PCLC-PARENT,181379,"Number of Dividers","cord locks, not a bag"
256510048011,MET-PCLC-PARENT,181379,"Number of Pockets","cord locks, not a bag"
256510048011,MET-PCLC-PARENT,181379,"Pocket Type","cord locks, no pockets"
256510048011,MET-PCLC-PARENT,181379,Position,"cord locks, position not a product spec"
256510048011,MET-PCLC-PARENT,181379,Season,"cord locks, not season-specific"
256510048011,MET-PCLC-PARENT,181379,Sport/Activity,"general cord locks, not a sport item"
256510048011,MET-PCLC-PARENT,181379,"Strap Length","cord locks, not a strap"
256510048011,MET-PCLC-PARENT,181379,Team,"not a sports team product"
256510048011,MET-PCLC-PARENT,181379,"Trim Material","plain cord locks, no decorative trim"
256510048012,HWK-MYLAR-BLANKET,181412,"EPA Registration Number","mylar space blanket, not a pesticide"
256510048021,SON-JAROPENER-BJ094,20688,Character,"plain rubber jar opener, no character"
256510048021,SON-JAROPENER-BJ094,20688,"Character Family","plain rubber jar opener, no character family"
256510048021,SON-JAROPENER-BJ094,20688,Occasion,"general kitchen utility tool, no occasion"
256510048021,SON-JAROPENER-BJ094,20688,"Personalization Instructions","not a personalized product"
256510048021,SON-JAROPENER-BJ094,20688,Theme,"plain utility jar opener, no theme"
256510048021,SON-JAROPENER-BJ094,20688,"Wood Tone","rubber, not wood"
256510048023,MCN-DABUCKLE-PARENT,181379,Accents,"buckle kit, no decorative accents"
256510048023,MCN-DABUCKLE-PARENT,181379,Capacity,"buckle, not a bag with capacity"
256510048023,MCN-DABUCKLE-PARENT,181379,"EPA Registration Number","buckle, not a pesticide"
256510048023,MCN-DABUCKLE-PARENT,181379,Event,"buckle, not event-specific"
256510048023,MCN-DABUCKLE-PARENT,181379,"Event Type","buckle, not event-specific"
256510048023,MCN-DABUCKLE-PARENT,181379,"Frame Material","buckle, no frame"
256510048023,MCN-DABUCKLE-PARENT,181379,"Number of Dividers","buckle, not a bag"
256510048023,MCN-DABUCKLE-PARENT,181379,"Number of Pockets","buckle, not a bag"
256510048023,MCN-DABUCKLE-PARENT,181379,"Pocket Type","buckle, no pockets"
256510048023,MCN-DABUCKLE-PARENT,181379,Position,"buckle, position not a product spec"
256510048023,MCN-DABUCKLE-PARENT,181379,Season,"buckle, not season-specific"
256510048023,MCN-DABUCKLE-PARENT,181379,Sport/Activity,"general buckle, not a sport item"
256510048023,MCN-DABUCKLE-PARENT,181379,"Strap Length","buckle, not a strap"
256510048023,MCN-DABUCKLE-PARENT,181379,Team,"not a sports team product"
256510048023,MCN-DABUCKLE-PARENT,181379,"Trim Material","plain buckle, no decorative trim"
256510048028,SON-ACIDBRUSHSET-12PC,183161,"Wood Type","metal-handle acid brushes, not a wood product"
256510048040,MCN-MGAAWRKWP25OZ-PARENT,177876,Gender,"repair kit, not gendered apparel"
256510048062,SON-UVBLACKLIGHT-BLK,16037,"Personalization Instructions","not a personalized product"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Accents,"buckle, no decorative accents"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Capacity,"buckle, not a bag with capacity"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"EPA Registration Number","buckle, not a pesticide"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Event,"buckle, not event-specific"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Event Type","buckle, not event-specific"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Frame Material","buckle, no frame"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Number of Dividers","buckle, not a bag"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Number of Pockets","buckle, not a bag"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Pocket Type","buckle, no pockets"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Position,"buckle, position not a product spec"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Season,"buckle, not season-specific"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Sport/Activity,"general buckle, not a sport item"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Strap Length","buckle, not a strap"
256510048070,MCN-MGARBDSB-1-BLCK,36109,Team,"not a sports team product"
256510048070,MCN-MGARBDSB-1-BLCK,36109,"Trim Material","plain buckle, no decorative trim"
256511081582,MCN-REVIVX-SEAMGRIPFC-BUNDLE-HPNR,36120,"Mounting Type","waterproofing spray + sealer, not hardware-mounted"
256514435510,MCN-TTAPEREPAIRPATCHES-AMZ-PARENT,36120,"Mounting Type","repair patches, not hardware-mounted"
256514435542,MCN-REVIVX-SEAMGRIPTF-BUNDLE-HPNR,36120,"Mounting Type","waterproofing spray + sealer, not hardware-mounted"
256515004658,MCN-SEAMGRIP-TF-PARENT,36120,"Mounting Type","tent fabric sealer, not hardware-mounted"
256519121588,SON-WATERPROOF-NOTEBOOK-IR-TT,20164,"Personalization Instructions","not a personalized product"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Animal Species","stationery set, not an animal figure"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Autograph Authentication","mass-produced stationery, not autographed"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Autograph Authentication Number","mass-produced stationery, not autographed"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Autograph Format","mass-produced stationery, not autographed"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Certification Number","not a graded collectible"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,Convention/Event,"retail product, not a convention exclusive"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Featured Person/Artist","fictional IP, no featured real person"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,Grade,"not a graded collectible"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Personalization Instructions","not a personalized product"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Professional Grader","not a graded collectible"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,Scale,"stationery, not a scale model"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Signed By","mass-produced, not signed"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,Sport,"stationery, not sports-related"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Transformer Faction","Incredibles, not Transformers"
256525915552,UPD-INCRED-2-STATIONERY-9PC,261068,"Vehicle Type","stationery, not a vehicle"
256525915632,SON-PAKAWOODKNIFE-3IN,7306,"Tools Included","plain folding knife, no extra tools included"
256525915648,SON-UDRTASSPC-228PC-MTL,260207,Voltage,"manual rotary accessories, not powered"
256525915652,FLL-HNHSTBAT,177887,"For Gun Type","strap/snap hook accessory, not gun-specific"
256525915652,FLL-HNHSTBAT,177887,Gauge/Caliber,"strap accessory, not ammo/firearm"
256525915671,SON-GR4XTVCSACK-5PC-SML-BLCK,11704,"Expiration Date","magnifying tweezer/vial kit, durable, doesn't expire"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,Accents,"drawstring bag, no decorative accents"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,"EPA Registration Number","drawstring bag, not a pesticide"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,Event,"drawstring bag, not event-specific"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,"Event Type","drawstring bag, not event-specific"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,"Frame Material","soft drawstring bag, no frame"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,"Number of Dividers","drawstring bag, no dividers"
256525915688,SON-AOMDBWSB-17X125-BLCK,87122,"Number of Pockets","drawstring bag, no pockets"
