certainty,item_id,sku,name,category_id,aspect,mode,proposed_value,approved_value,reviewer_notes,allowed_values,title
60,256525915827,SON-EXTEND-FLYSWATTER-ASSRT,"ASR Outdoor Extendable Insect Bug Fly Swatter Durable Telescopic Pole Anti Slip",181042,"Battery Included",SELECTION_ONLY,No,,,"Yes | No","Extendable Fly Swatter Durable Telescopic Pole Anti Slip"
60,256525915851,SON-EXTEND-FLYSWATTER-RED,"ASR Outdoor Extendable Insect Bug Fly Swatter Durable Telescopic Pole Anti Slip",181042,"Battery Included",SELECTION_ONLY,No,,,"Yes | No","Extendable Fly Swatter - Durable Telescopic Pole-Anti Slip- Red"
60,256526374819,ASR-GRIPREDKEEPSPORTING,"(2 Pack) ASR Outdoor Jumbo 6.5 Inch XL Key Chain Hand Grip Black and Silver",45237,Material,FREE_TEXT,Aluminum,,,"Acrylic | Brass | Bronze | Chrome | Copper | Crystal | Elastomultiester | Fabric | Faux Fur | Faux Leather | Fur | Glass | Leather | Mesh | Metal | Nickel | Pewter | Plastic | Polyacrylate Fiber | Polycarbamide | Polylactide | Polypropylene Fiber | Resin | Silver | Silver Plated | Stainless Steel...","Jumbo 6.5 Inch Carabiner Key Chain with Grip - 2 Pack Black and Silver"
65,255457181082,MCN-SEAMGRIPWP-PARENT,"GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear",36120,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More Than 4","GEAR AID Seam Grip Waterproof Sealant Adhesive for Tents, Outdoors, Clear, 1 oz"
65,256376275265,MCN-SEAMGRIP-REPAIRKIT-PARENT,"GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear",36120,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More Than 4","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear 0.25 oz"
65,256444840061,ASR-MEDIUMSIZECARABINERSKEEP,"Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors 6pk",50814,Shape,FREE_TEXT,D-Shape,,,"D Shape | Pear Shape | Round","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors 6pk"
65,256446183403,SON-ICE-TEMPERED-SCISSOR-SP102-4PK,"4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch",101915,Department,FREE_TEXT,"Unisex Adults",,,"Adult | Unisex | Unisex Kids","4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch"
65,256446183412,MCN-MGARWRLGAC-4O,"Gear Aid ReviveX Water Proofing Conditioning Gel for Leather Outdoor Footwear",259189,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | 5 | 6","GEAR AID Revivex Leather Water Repellent for Shoes and Boots, 4 fl oz"
65,256462817259,SON-11ISCCMTWCC-20PC-SML-SLVR,"(20 Pack) ASR Outdoor 11 in 1 Multi Function Credit Card Sized Tool",75236,"Blade Material",FREE_TEXT,"Stainless Steel",,,"Aluminum | Carbon Steel | Damascus Steel | Forged Steel | Stainless Steel","11 Function Credit Card Sized Multi-tool - 20 Pack"
65,256462854889,SON-AO155IMWSAH-155-BLCK-2,"ASR Outdoor Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle",73522,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","ASR Outdoor Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle"
65,256476123885,MCN-GADWNCLN10OZ-10OZ-HVAR,"Gear Aid ReviveX Down Cleaner",259621,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 15 | 20 | 25 | 30 | 35 | 40 | More Than 40","GEAR AID Revivex Down Cleaner and Wash for Jackets and Sleeping Bags, 10 fl oz"
65,256508244301,SON-TROWELKNEELINGPADCOMBO,"Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set",75669,"Assembly Status",SELECTION_ONLY,"Fully Assembled",,,"Fully Assembled | Part Assembled | Assembly Required","Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set"
65,256508244348,SON-DTCBAU-12PC-SML-WHT-2,"(12 Pack) Disposable Towels Compact Compressed Biodegradable and Unscented",29509,For,FREE_TEXT,"General Cleaning, Travel",,,"Appliance | Automotive | Bathroom | Carpet | Cook Top | Dinnerware | Dishwasher | Electronics | Fabric | Furniture/Upholstery | Glass | Hard Floor | Jewelry | Kitchen | Laminate | Leather | Metal | Mould/Mildew | Outdoor | Oven/Grill | Plastic | Sink/Drain | Stone | Tile/Grout | Toilet | Washing ...","Disposable Towels Compact Compressed Biodegradable and Unscented - 12 Pack"
65,256508244356,SON-ESSBL-LG-SLVR,"Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch",87100,Department,SELECTION_ONLY,"Unisex Adults",,,"Kids | Men | Unisex Adults | Women","Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch"
65,256508244466,SON-OTRSCMP-STD-YLLW,"ASR Outdoor Thermal Mat Heat Reflective Camping Sleeping Pad Insulated Winter Chill",36114,Department,SELECTION_ONLY,"Unisex Adults",,,"Women | Men | Unisex Adults | Unisex Kids","Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill"
65,256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,"GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear",177895,"Number of Items in Set",FREE_TEXT,2,,,"1 | 2 | 3 | 4 | 5 | 6 | 37 | 49 | 61 | 88","GEAR AID Tenacious Tape Patches Vinyl, Fabric Repair, Clear, 3"" x 5"" Patches"
65,256510041675,SON-7IN1SURVIVALWHISTLE-ODGRN,"7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green",181415,Material,FREE_TEXT,Plastic,,,"ABS Plastic | Aluminum | Aluminum Alloy | Bagasse | Carbon | Cellulose | Ferrocerium | Flint | Iron | Magnesium | Metal | Mylar | Nylon | Pine | Pitchwood | Plastic | Titanium | Waxed Cotton | Wood","7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green"
65,256510041696,NPT-ASRO-9IN1SURVIVALKNIFE-BLK,"ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black",75236,"Blade Edge",FREE_TEXT,Plain,,,"Partially Serrated | Serrated | Straight Edge","ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black"
65,256510041714,SON-ANGULAR-SCISSORS,"Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular",101915,Material,FREE_TEXT,Steel,,,"Carbon Steel | Ceramic | Stainless Steel | Steel Alloys | Stellite | Titanium","Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular"
65,256510041753,MCN-MMESQAS12O-12OZ-PARENT,"GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz",27362,Gender,FREE_TEXT,Unisex,,,"Men | Women | Kids' | Unisex","GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz"
65,256510041773,SON-STEELDIGGER-GRN-AMZ-HPN,"SE Prospector's Choice 12"" Serrated Edge Digger - GP3-SS30DT",118867,"System of Measurement",FREE_TEXT,Imperial,,,"Both | Imperial | Metric | Standard (SAE)","Metal Detector 12"" Serrated Edge Digger, Garden Weed Lawn Mower Tool"
65,256510047624,SON-POLISHINGWHEEL-2IN,"Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin",42266,"Power Source",FREE_TEXT,"Electric (Tool-Powered)",,,"Battery | Corded Electric | Gasoline | Hybrid","Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin"
65,256510047684,SON-SAFETYGOGGLES,"Safety Goggles Eye Protection",67019,"Lens Color",FREE_TEXT,Clear,,,"Amber | Blue | Brown | Clear | Gray | Green | Orange | Red | Yellow","Safety Goggles Eye Protection"
65,256510047921,SON-ICE-TEMPERED-SCISSOR-SP102,"Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 5.5 inch",101915,Department,FREE_TEXT,"Unisex Adults",,,"Adult | Unisex | Unisex Kids","Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 5.5 inch"
65,256510047925,SON-155BSSMRWZSS-155E-BLCK,"15.5"" Black Stainless Steel Machete, Recurved Blade with Zigzag Serrated Spine",73522,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","Recurved Blade Machete with Zigzag Serrated Spine and Paracord Handle 15"""
65,256510047946,SON-ICE-TEMPERED-SCISSOR-SP105,"Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 7.5 inch",101915,Department,FREE_TEXT,"Unisex Adults",,,"Adult | Unisex | Unisex Kids","Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 7.5 inch"
65,256510047954,SON-CINEMA-LIGHTBOX-20BX,"Universal Hanging Cinema String Light Boxes With 90 Characters - 20 Light Boxes",183394,"Assembly Required",SELECTION_ONLY,Yes,,,"Yes | No","Hanging Cinema String Light Boxes - 90 Characters, 20 Boxes"
65,256510047954,SON-CINEMA-LIGHTBOX-20BX,"Universal Hanging Cinema String Light Boxes With 90 Characters - 20 Light Boxes",183394,Occasion,FREE_TEXT,"Party, Decoration",,,"Christmas | Easter | Halloween | Party | Wedding","Hanging Cinema String Light Boxes - 90 Characters, 20 Boxes"
65,256510047965,MCN-MEMNORABC-2OZ-CLR-2,"Gear Aid Revivex Odor Eliminator, for Tents, Footwear and Sports Gear, 2 fl oz",260134,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 35","GEAR AID Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 2 fl oz"
65,256510048082,SON-CENTERPUNCH-BRS,"Utopia's Automatic Center Punch Gold",50380,"Number of Pieces",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30","Universal Hobby Automatic Spring Loaded Center Punch Brass Body Hole Marker"
65,256514435542,MCN-REVIVX-SEAMGRIPTF-BUNDLE-HPNR,"GEAR AID 2-Pack Bundle Tent Waterproofing Spray Kits for Nylon Tents",36120,Color,FREE_TEXT,Clear,,,"Beige | Black | Blue | Brown | Clear | Gold | Gray | Green | Multicolor | Orange | Pink | Purple | Red | Silver | White | Yellow","GEAR AID Tent Waterproofing Spray and Sealer for Nylon Tents, Tent Fabric Kit"
65,256525915604,SON-5INFOLDINGKNIFE-BLK,"ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch",48818,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch"
65,256525915604,SON-5INFOLDINGKNIFE-BLK,"ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch",48818,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch"
65,256525915632,SON-PAKAWOODKNIFE-3IN,"ASR Outdoor Paka Wood Pocket Knife Folding Blade 440 Stainless Steel Clip Point",7306,"Number of Tools",FREE_TEXT,1,,,"3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | More Than 15","Paka Wood Pocket Knife Folding Blade 440 Stainless Steel Clip Point"
65,256525915640,SON-5INFOLDINGKNIFE-SLV,"ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver",48818,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver"
65,256525915640,SON-5INFOLDINGKNIFE-SLV,"ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver",48818,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver"
65,256525915652,FLL-HNHSTBAT,"Flatline Ops Nylon Hanging Strap Bag Attachment Snap Hook (Tan)",177887,Handedness,SELECTION_ONLY,Ambidextrous,,,"Ambidextrous | Left | Right","Flatline Ops Nylon Hanging Strap Bag Attachment Snap Hook (Tan)"
65,256525915678,MCNETT-MICROTERRY-TOWEL-4009-BUN-1,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, OD Green, M, 20"" x 40""",181398,"Care Instructions",FREE_TEXT,"Machine Wash",,,"Easy Care | Hand Wash | Machine Wash | Machine Wash Cold | Machine Wash Warm | Tumble Dry | Tumble Dry Only","GEAR AID Quick Dry Microfiber Towel for Travel, Camping, OD Green, XL, 35"" x 62"""
65,256525915709,KOL-BARBIE-STAR-EARRINGS-PC316,"Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up",19172,"Age Level",SELECTION_ONLY,4-7,,,"12 Months & Under | 1-2 Years | 3-4 Years | 4-7","Barbie Gold Star Earrings"
65,256525915714,SON-MULTI-COLOR-HEADLAMP-FL8219-5,"ASR Outdoor 4 in 1 350 Lumen Multi Color Tilting Head Lamp Camping Garden Hiking",106984,"Power Source",FREE_TEXT,Battery,,,"Battery | Solar | USB","Multi Color Outdoor 4 in 1 Head Lamp - 350 Lumen"
65,256525915735,NPT-ASTKUNAI-6PC,"ASR Outdoor 6 Piece 6.5 Inch Ninja Kunai Set Assorted Colors With Sheath Set",73522,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","ASR Outdoor 6 Piece 6.5 Inch Ninja Kunai Set Assorted Colors With Sheath Set"
65,256525915753,NPT-BEARKNIFE-BLACK,"ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle",73522,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle"
65,256525915779,4SN-BLACKKNIFESET-4PC,"Beille 5 Piece Home Ergonomic Kitchen Knives Set, 5 Knife Essential Bundle",177005,"Food Compatibility",FREE_TEXT,"Meat, Vegetables, Bread",,,"Candy | Cheese | Deep Fry | Fruit | Meat | Oil | Salad | Sugar, Icing Sugar & Cocoa | Universal | Vegetables","Universal Home 4-piece Black Kitchen Knife Set"
65,256525915800,NPT-8INPOCKETKNIFE-EAG,"ASR Outdoor Back Lock Folding American Eagle Pocket Knife Collectible Gift, 8 inch",7306,"Number of Tools",FREE_TEXT,1,,,"3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | More Than 15","ASR Outdoor 8"" Eagle Head Pocket Knife"
65,256525915806,NPT-EMSPOCKETKNIFE-ORG,"ASR Outdoor Camping EMS Emblem Pocket Knife Spring Assisted Serrated Tanto Blade Orange",75236,"Blade Material",FREE_TEXT,"Stainless Steel",,,"Aluminum | Carbon Steel | Damascus Steel | Forged Steel | Stainless Steel","ASR Outdoor 8"" Pocket Knife - Orange"
65,256525915806,NPT-EMSPOCKETKNIFE-ORG,"ASR Outdoor Camping EMS Emblem Pocket Knife Spring Assisted Serrated Tanto Blade Orange",75236,"Number of Tools",FREE_TEXT,1,,,"3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | More Than 15","ASR Outdoor 8"" Pocket Knife - Orange"
65,256525915844,SON-J65XCKCWHGCS-XL-SLVR-3,"7-3/4"" Jumbo Aluminum Carabiner - Chrome Silver",50814,Shape,FREE_TEXT,D-Shape,,,"D Shape | Pear Shape | Round","ASR Outdoor Jumbo Carabiner - Chrome Silver"
65,256525915852,SON-POCKET-KNIFE-KFD702,"ASR Outdoor Sleek 7"" Folding Pocket Knife Drop Point Blade, Black",48818,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","ASR Outdoor 3.75 Inch Black Aluminium Body Pocket Knife"
65,256525915852,SON-POCKET-KNIFE-KFD702,"ASR Outdoor Sleek 7"" Folding Pocket Knife Drop Point Blade, Black",48818,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","ASR Outdoor 3.75 Inch Black Aluminium Body Pocket Knife"
65,256525915854,ASR-EDACS-BUN-3PC-MED-BNDL,"Bald Eagle Dagger 3pc American Flag Knife Collector Set",73522,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","Bald Eagle Dagger 3pc American Flag Knife Collector Set"
65,256525915854,ASR-EDACS-BUN-3PC-MED-BNDL,"Bald Eagle Dagger 3pc American Flag Knife Collector Set",73522,Dexterity,FREE_TEXT,Ambidextrous,,,"Left-Handed | Right-Handed | Ambidextrous","Bald Eagle Dagger 3pc American Flag Knife Collector Set"
65,256525915867,NPT-OPENRESCUEKNIFE-SILVER,"ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter",48818,"Blade Edge",FREE_TEXT,Plain,,,"Plain | Serrated | Combination","ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter"
65,256525915867,NPT-OPENRESCUEKNIFE-SILVER,"ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter",48818,"Number of Blades",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More than 4","ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter"
65,256525915874,UPD-MICKEY-JUMP-ROPE,"Disney Mickey Mouse Roadster Racers Jump Rope Kids Exercise Toy",62134,Indoor/Outdoor,FREE_TEXT,Indoor/Outdoor,,,"Both | Indoor | Outdoor","Disney Kids Jump Rope - Mickey Mouse Roadsters"
65,256525915874,UPD-MICKEY-JUMP-ROPE,"Disney Mickey Mouse Roadster Racers Jump Rope Kids Exercise Toy",62134,Usage,FREE_TEXT,Indoor/Outdoor,,,"Commercial Use | Home Use | Semi-Commercial Use","Disney Kids Jump Rope - Mickey Mouse Roadsters"
65,256525915902,SON-SSMFUPKWCP-2PC,"ASR Outdoor Stainless Steel Multi-tool Utility EDC Pocket Knife with Carry Pouch",75236,"Blade Edge",FREE_TEXT,Plain,,,"Partially Serrated | Serrated | Straight Edge","Multi Function Stainless Steel Utility Pocket Knife w/ Carrying Pouch"
65,256529646593,MCN-BURIDIVEKNIFE-PARENT,"Tactical Buri Multipurpose Utility Dive Knife 8 Inch (2 Colors)",75235,"Blade Edge",FREE_TEXT,Plain,,,"Partially Serrated | Serrated | Straight Edge","GEAR AID Buri Drop Point Knife with Sheath, 3"" Blade, Orange/Black"
70,254735968039,MCN-TENACIOUSTAPE-PARENT-AMZ,"Gear Aid Tenacious Tape Repair Tape for Fabric and Vinyl, 3"" x 20""",36120,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More Than 4","GEAR AID Tenacious Tape Ripstop Nylon Repair Tape for Fabric and Vinyl, 3"" x 20"""
70,256110410273,MCN-MGAIWS,"Gear Aid ReviveX Instant Waterproofing Spray for Outdoor Clothing Camping",27362,Color,FREE_TEXT,Clear,,,"Beige | Black | Blue | Brown | Gold | Gray | Green | Ivory | Multi-Color | Orange | Pink | Purple | Red | Silver | White | Yellow","GEAR AID Revivex Instant Waterproofing Spray, Tents, Shoes, Outdoor Fabric, 5 oz"
70,256446183403,SON-ICE-TEMPERED-SCISSOR-SP102-4PK,"4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch",101915,Shape,FREE_TEXT,Straight,,,"Leaf | Shape Shifter | Shark Teeth | Stiletto | Stork | Willow","4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch"
70,256446183485,MCN-TACMICRTERTOWEL-PARENT-HPN-2,"Gear Aid Tactical Ultra-Compact Microfiber Towel",181398,Department,SELECTION_ONLY,"Unisex Adults",,,"Men | Unisex Adults | Unisex Kids | Women","GEAR AID Quick Dry Microfiber Towel for Travel, Camping, Sports, XL, 35” x 62”"
70,256446183545,MCN-ELSTIC-SHOCKCORD-HPNR,"GEAR AID Elastic Shock Cord for Tent Poles and Jackets, 84"", Black",36120,"Number in Pack",FREE_TEXT,1,,,"1 | 2 | 3 | 4 | More Than 4","GEAR AID Elastic Shock Cord for Tent Poles and Jackets, 84"", Black"
