numeric_id,title,handle,onlineStoreUrl,likely_reason,mc_disapproval_reason_TOFILL
9881939575084,"8 Inch Heavy Duty Full Tang Harpoon Point Fixed Blade Knife with Wood Handle and Belt Loop Sheath",asr-outdoor-8-inch-heavy-duty-full-tang-harpoon-point-fixed-blade-knife-with-wood-handle-and-belt-loop-sheath,https://asroutdoor.com/products/asr-outdoor-8-inch-heavy-duty-full-tang-harpoon-point-fixed-blade-knife-with-wood-handle-and-belt-loop-sheath,"weapons/blade policy (verify)",
9878688170284,"8.5 Inch Full Tang Fixed Blade Survival and Hunting Tanto Knife with Sheath and Belt Loop, Black",asr-outdoor-8-5-inch-full-tang-fixed-blade-survival-and-hunting-tanto-knife-with-sheath-and-belt-loop-black,https://asroutdoor.com/products/asr-outdoor-8-5-inch-full-tang-fixed-blade-survival-and-hunting-tanto-knife-with-sheath-and-belt-loop-black,"weapons/blade policy (verify)",
9860245946668,"9 Inch 440 Stainless Steel Recurve Full Tang Fixed Blade Knife with Sheath (4.25 Inch Blade)",9-inch-440-stainless-steel-recurve-full-tang-fixed-blade-knife-with-sheath-4-25-inch-blade,https://asroutdoor.com/products/9-inch-440-stainless-steel-recurve-full-tang-fixed-blade-knife-with-sheath-4-25-inch-blade,"weapons/blade policy (verify)",
9516211142956,"Buckshot Knives Camping Axe Hatchet - Black Steel with Cord Cutter",buckshot-knives-camping-axe-hatchet-black-steel-with-cord-cutter,https://asroutdoor.com/products/buckshot-knives-camping-axe-hatchet-black-steel-with-cord-cutter,"weapons/blade policy (verify)",
9512980218156,"Fishing Fillet Knife Hard Sheath and Floating Handle, 6 inch Blade",fishing-fillet-knife-hard-sheath-and-floating-handle-6-inch-blade,https://asroutdoor.com/products/fishing-fillet-knife-hard-sheath-and-floating-handle-6-inch-blade,"weapons/blade policy (verify)",
9516221989164,"Full Tang Tanto Survival Knife with Fire Starter, 7 inch, Serrated Spine, Black and Green",full-tang-tanto-survival-knife-with-fire-starter-7-inch-serrated-spine-black-and-green,https://asroutdoor.com/products/full-tang-tanto-survival-knife-with-fire-starter-7-inch-serrated-spine-black-and-green,"weapons/blade policy (verify)",
10099858768172,"Mini Folding Ceramic Razor Blade Survival Tool EDC Gear",mini-folding-ceramic-razor-blade-survival-tool,,"weapons/blade policy (verify)",
10100504035628,"Mini Logo EDC Small Pocket Knife Multitool (4 Colors)",mini-edc-small-pocket-knife-multitool-3-colors,https://asroutdoor.com/products/mini-edc-small-pocket-knife-multitool-3-colors,"weapons/blade policy (verify)",
9512972353836,"Multi-Function Key Chain Knife Tool",multi-function-key-chain-knife-tool,https://asroutdoor.com/products/multi-function-key-chain-knife-tool,"weapons/blade policy (verify)",
10099850772780,"Non-Metallic Zirconia Ceramic Mini Survival Razor Blade, Wear-Resistant and Non-Dulling",non-metallic-covert-zirconia-ceramic-razor-blade-wear-resistant-and-non-dulling,,"weapons/blade policy (verify)",
9513002959148,"Stainless Steel Camping Utensil Set - Clip Together Knife Fork Spoon with Can Opener",3pc-camping-utensil-set-military-ration-mre,https://asroutdoor.com/products/3pc-camping-utensil-set-military-ration-mre,"weapons/blade policy (verify)",
10099832357164,"Wild Icons Collector Fixed Blade Hunting Knife Series with Animal Head and Sheath (4 Styles)",wildlife-knife-collection-animal-head-fixed-blade-hunting-knife,https://asroutdoor.com/products/wildlife-knife-collection-animal-head-fixed-blade-hunting-knife,"weapons/blade policy (verify)",
10099746996524,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,https://asroutdoor.com/products/13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"weapons/blade policy (verify)",
