url,page_type,clicks,impr,actual_ctr,expected_ctr,pos,opportunity_clicks
https://asroutdoor.com/products/50-aluminum-folding-sluice-box-gold-prospecting-equipment?variant=45922161262892&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,product,0,203,0.00%,19.79%,1.67,40
https://asroutdoor.com/products/9-inch-440-stainless-steel-recurve-full-tang-fixed-blade-knife-with-sheath-4-25-inch-blade,product,14,1191,1.18%,4.51%,6.32,40
https://asroutdoor.com/products/12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,product,10,1839,0.54%,2.61%,9.29,38
https://asroutdoor.com/products/19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,product,5,2544,0.20%,1.55%,12.27,34
https://asroutdoor.com/products/17pc-gold-prospecting-equipment-essentials-field-kit-with-classifier-screens,product,0,2560,0.00%,1.29%,14.07,33
https://asroutdoor.com/products/hrc-steel-shovel-with-knurled-wooden-handle-gold-prospecting-equipment-28-25-inch,product,8,1362,0.59%,2.90%,8.61,31
https://asroutdoor.com/products/5-inch-portable-aluminum-waterproof-edc-storage-containers-with-carabiner-clip-2-colors,product,3,656,0.46%,5.08%,5.77,30
https://asroutdoor.com/products/3pc-heavy-duty-cold-steel-chisel-set-rock-hounding-equipment,product,20,2135,0.94%,2.32%,10.13,30
https://asroutdoor.com/blogs/journal/gold-panning-and-geology-kits-for-kids,blog,11,1062,1.04%,3.71%,7.27,28
https://asroutdoor.com/pages/about,page,6,457,1.31%,7.21%,4.33,27
https://asroutdoor.com/products/matte-black-curved-hawkbill-full-tang-fixed-blade-knife-with-sheath-and-lanyard-7-inch,product,2,670,0.30%,4.23%,6.63,26
https://asroutdoor.com/products/13-pocket-musette-carry-shoulder-bag-for-rock-hounding,product,23,1640,1.40%,3.00%,8.4,26
https://asroutdoor.com/products/pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12,product,6,1480,0.41%,2.17%,10.38,26
https://asroutdoor.com/collections/gold-prospecting-bucket-kits,collection,21,1855,1.13%,2.51%,9.62,26
https://asroutdoor.com/products/13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground,product,10,1140,0.88%,2.80%,8.8,22
https://asroutdoor.com/products/asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,product,3,1226,0.24%,2.02%,10.63,22
https://asroutdoor.com/products/50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors,product,8,962,0.83%,3.08%,8.25,22
https://asroutdoor.com/products/gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch,product,4,955,0.42%,2.65%,9.16,21
https://asroutdoor.com/pages/gold-panning-videos,page,9,892,1.01%,3.39%,7.73,21
https://asroutdoor.com/blogs/journal/spring-break-science-adventures-for-kids-geology-outdoor-stem-activities-with-asr-outdoor,blog,27,1300,2.08%,3.66%,7.34,21
https://asroutdoor.com/collections/paydirt-kits,collection,36,1901,1.89%,2.94%,8.53,20
https://asroutdoor.com/products/asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,product,3,858,0.35%,2.27%,10.22,16
https://asroutdoor.com/blogs/journal/bellingham-s-best-hikes-from-easy-walks-to-epic-views,blog,38,2768,1.37%,1.94%,10.76,16
https://asroutdoor.com/products/gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,product,1,511,0.20%,2.87%,8.67,14
https://asroutdoor.com/blogs/journal/setting-up-camp-at-havasupai-campground-what-to-expect-and-what-you-don-t-need-to-pack,blog,12,2048,0.59%,1.25%,14.46,14
https://asroutdoor.com/products/3pc-reusable-camping-cutlery-plastic-utensils-set,product,1,1096,0.09%,1.32%,13.78,14
https://asroutdoor.com/products/asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,product,1,791,0.13%,1.76%,11.18,13
https://asroutdoor.com/products/7-inch-folding-tactical-pocket-knife-with-drop-point-440-stainless-steel-blade-black,product,3,666,0.45%,2.38%,10.04,13
https://asroutdoor.com/collections/camping-gear,collection,1,329,0.30%,3.76%,7.2,11
https://asroutdoor.com/products/asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,product,2,359,0.56%,3.62%,7.4,11
https://asroutdoor.com/products/asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,product,3,842,0.36%,1.64%,11.82,11
https://asroutdoor.com/blogs/journal/januarys-best-seller-can-you-guess-what-it-is,blog,2,464,0.43%,2.73%,8.93,11
https://asroutdoor.com/products/gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen,product,5,650,0.77%,2.40%,9.99,11
https://asroutdoor.com/blogs/journal/portable-gold-panning-kits-to-take-anywhere,blog,3,551,0.54%,2.45%,9.83,11
https://asroutdoor.com/blogs/journal,blog,0,349,0.00%,2.95%,8.5,10
https://asroutdoor.com/products/asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,product,10,898,1.11%,2.24%,10.27,10
https://asroutdoor.com/products/orange-heavy-duty-abs-plastic-tent-stakes-ground-anchor-camping-essentials,product,3,766,0.39%,1.70%,11.49,10
https://asroutdoor.com/blogs/journal/digging-into-gold-with-bobby-bo-asr-outdoors-expert-gold-panner,blog,0,305,0.00%,3.24%,7.94,10
https://asroutdoor.com/products/20pc-complete-gold-panning-kit-with-50-inch-folding-sluice-box-and-5-gallon-bucket-3-colors,product,3,516,0.58%,2.38%,10.03,9
https://asroutdoor.com/products/asr-outdoor-30l-heavy-stitch-gold-panning-backpack-camping-canvas-rucksack-3-colors,product,34,1714,1.98%,2.50%,9.66,9
https://asroutdoor.com/products/6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,product,2,337,0.59%,3.21%,7.99,9
https://asroutdoor.com/products/green-heavy-duty-plastic-gold-rush-gold-panning-hand-scoop-trowel,product,1,327,0.31%,2.72%,8.96,8
https://asroutdoor.com/products/asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,product,3,359,0.84%,3.01%,8.38,8
https://asroutdoor.com/products/gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,product,2,357,0.56%,2.60%,9.34,7
https://asroutdoor.com/products/half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch,product,6,631,0.95%,2.03%,10.62,7
https://asroutdoor.com/products/gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes,product,3,657,0.46%,1.43%,12.83,6
https://asroutdoor.com/blogs/journal/camping-essentials-checklist-for-beginners,blog,0,256,0.00%,2.44%,9.87,6
https://asroutdoor.com/products/13pc-gold-panning-backpack-kit-collapsible-bucket,product,2,407,0.49%,2.00%,10.66,6
https://asroutdoor.com/products/aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,product,7,518,1.35%,2.47%,9.77,6
https://asroutdoor.com/products/27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting,product,0,316,0.00%,1.73%,11.33,5
https://asroutdoor.com/products/asr-outdoor-x-bobby-bo-assorted-paydirt-bags,product,6,456,1.32%,2.51%,9.63,5
https://asroutdoor.com/products/asr-outdoor-black-drawstring-backpack-gym-bag-hiking-gear-20-x-16-inches,product,4,653,0.61%,1.44%,12.82,5
https://asroutdoor.com/products/asr-outdoor-collapsible-camping-lantern-cob-assorted-colors,product,1,432,0.23%,1.46%,12.69,5
https://asroutdoor.com/products/compact-50-lumens-mini-zipper-light-with-keychain-camping-hiking-edc-survival-gear,product,4,285,1.40%,3.15%,8.1,5
https://asroutdoor.com/products/10-inch-single-riffle-standard-gold-pan-multiple-colors,product,5,389,1.29%,2.57%,9.43,5
https://asroutdoor.com/products/5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit,product,3,550,0.55%,1.38%,13.16,5
https://asroutdoor.com/pages/contact,page,3,627,0.48%,1.20%,14.96,5
https://asroutdoor.com/products/3pc-camping-utensil-set-military-ration-mre,product,0,218,0.00%,1.70%,11.48,4
https://asroutdoor.com/products/2pc-stainless-steel-flask-and-funnel-set-for-hiking-camping-outdoor-gear-2-sizes,product,2,366,0.55%,1.52%,12.39,4
https://asroutdoor.com/blogs/journal/gift-guide-3-survival-gear-emergency-preparedness,blog,0,206,0.00%,1.64%,11.78,3
https://asroutdoor.com/blogs/journal/hidden-gems-for-hiking-and-camping-in-washington-state,blog,5,364,1.37%,2.27%,10.21,3
https://asroutdoor.com/products/wildlife-knife-collection-animal-head-fixed-blade-hunting-knife,product,12,494,2.43%,3.00%,8.4,3
https://asroutdoor.com/products/11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,product,2,270,0.74%,1.64%,11.8,2
https://asroutdoor.com/products/5lb-navy-blue-wool-blanket-camping-survival-gear-64-x-84-inches,product,9,418,2.15%,2.71%,8.98,2
https://asroutdoor.com/products/gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,product,5,349,1.43%,2.06%,10.57,2
https://asroutdoor.com/products/1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,product,13,672,1.93%,2.26%,10.24,2
https://asroutdoor.com/products/mini-sluice-box-with-3-5-gallon-bucket-gold-panning-kit-20pc,product,1,206,0.49%,1.48%,12.61,2
