handle,product_title,variant_title,sku,gtin_barcode,mpn,seo_title,seo_description,gpc,gender,age_group,condition,size_system,size_type
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","10"" / Blue",SON-AO10IBGRGTGPDR-10-BL,00706569621297,ASRGP-10BL,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","12"" / Green",SON-AO12IGGRGTGP-12-GRN,00644161380269,ASRGP-12GR,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","12"" / Black",SON-AO12IBGRGTGP-12-BLCK,00895316121118,ASRGP-12,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","12"" / Blue",SON-AO12IBGRGTGP-12-BL,00807207010715,ASRGP-12BL,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","14"" / Green",SON-AO14IGGRGTGP-12-GRN,00893502714526,ASRGP-14GR,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","14"" / Black",SON-AO14IBGRGTGP-12-BLCK,00741584388299,ASRGP-14BLA,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","14"" / Blue",SON-AO14IBGRGTGP-12-BL,00683520342241,ASRGP-14BLU,"Dual Riffle Gold Pans for Prospecting | ASR Outdoor","Dual-riffle gold pan with deep and shallow walls for fast recovery of fine and coarse gold. Lightweight, rust-free ABS in 8, 10, 12, and 14-inch sizes.",2187,unisex,adult,new,US,regular
asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",Khaki,DOY-10LBSBBPAYDIRTKIT-17PC-KH,00810131707903,7AIGJB4X3CT1V,"Backpack Sluice Box Gold Panning Kit, 17pc | ASR Outdoor","Complete 17-piece prospecting kit with a 50-inch folding aluminum sluice box, full recovery tools, and 10lb of Bobby Bo intermediate paydirt in a backpack.",1011,unisex,adult,new,US,regular
asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","OD Green",DOY-10LBSBBPAYDIRTKIT-17PC-GRN,00810131707842,JU5TLAD9MD8M0,"Backpack Sluice Box Gold Panning Kit, 17pc | ASR Outdoor","Complete 17-piece prospecting kit with a 50-inch folding aluminum sluice box, full recovery tools, and 10lb of Bobby Bo intermediate paydirt in a backpack.",1011,unisex,adult,new,US,regular
asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",Black,DOY-10LBSBBPAYDIRTKIT-17PC-BLK,00810131701666,PA9LUL6B1WYOA,"Backpack Sluice Box Gold Panning Kit, 17pc | ASR Outdoor","Complete 17-piece prospecting kit with a 50-inch folding aluminum sluice box, full recovery tools, and 10lb of Bobby Bo intermediate paydirt in a backpack.",1011,unisex,adult,new,US,regular
15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Mini Aluminum Sluice Box",ASR-15PC-3LB-PAYDIRT-ALUMINUM,00810131701291,1NWV6KEYNS88S,"Travel Gold Panning Kit with Sluice Box, 15pc | ASR Outdoor","Portable 15-piece gold panning kit with a mini rubber sluice box, recovery tools, and 3lb of Bobby Bo paydirt. Practice sluicing at home or in the field.",1011,unisex,adult,new,US,regular
15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Mini Rubber Sluice Box",ASR-15PC-3LB-PAYDIRT-RUBBER,00810131709990,0E2DAQGURS6EE,"Travel Gold Panning Kit with Sluice Box, 15pc | ASR Outdoor","Portable 15-piece gold panning kit with a mini rubber sluice box, recovery tools, and 3lb of Bobby Bo paydirt. Practice sluicing at home or in the field.",1011,unisex,adult,new,US,regular
gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",Green,SON-GOLDRUSHBEGINNERS-5PC-BUNDLE,00060886338185,"Beginner Gold Panning Kit","Beginner Gold Panning Kit with Vials, 5pc | ASR Outdoor","Beginner 5-piece gold panning kit with a 10-inch dual riffle pan, snuffer bottle, two glass vials, and magnifying tweezers. Ready for your local river.",361,unisex,adult,new,US,regular
gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",Black,SON-GOLDRUSHBEGINNERS-5PC-BUNDLE-BLK,00810131702823,ASROBGPK-5PCBLK,"Beginner Gold Panning Kit with Vials, 5pc | ASR Outdoor","Beginner 5-piece gold panning kit with a 10-inch dual riffle pan, snuffer bottle, two glass vials, and magnifying tweezers. Ready for your local river.",361,unisex,adult,new,US,regular
gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers",Blue,SON-GOLDRUSHBEGINNERS-5PC-BUNDLE-BLU,00810131702717,5PCGOLD,"Beginner Gold Panning Kit with Vials, 5pc | ASR Outdoor","Beginner 5-piece gold panning kit with a 10-inch dual riffle pan, snuffer bottle, two glass vials, and magnifying tweezers. Ready for your local river.",361,unisex,adult,new,US,regular
asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Rubber Sluice",SON-TRAVELGLDPNGKIT-14PC-RUBBER,00810058486981,GLDPNKT14-R,"Backpack Gold Panning Kit, Mini Sluice, 14pc | ASR Outdoor","Field-ready 14-piece gold panning kit with a 12-inch mini sluice box, dual riffle pans, scoop, vials, and tweezers. Aluminum or rubber sluice, no assembly.",1011,unisex,adult,new,US,regular
asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Aluminum Sluice",SON-TRAVELGLDPNGKIT-GREEN-14PC-BUN,00810058489272,GLDPNKT14,"Backpack Gold Panning Kit, Mini Sluice, 14pc | ASR Outdoor","Field-ready 14-piece gold panning kit with a 12-inch mini sluice box, dual riffle pans, scoop, vials, and tweezers. Aluminum or rubber sluice, no assembly.",1011,unisex,adult,new,US,regular
50-aluminum-folding-sluice-box-gold-prospecting-equipment,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment","Default Title",SON-FOLDINGSLUICEBOX-SLV,00060886706564,ASROFASBS,"50-Inch Aluminum Folding Gold Sluice Box | ASR Outdoor","50-inch folding aluminum gold sluice box with zinc-plated steel riffles and pre-installed miner's moss. Folds compact to backpack into remote prospecting sites.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/2""",ASR-GOLDMESHPANNINGMATERIALS,00706569105827,GP2-12-FGP,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/4""",SON-GSC14MSSPPWFP-2PC-SML-GRN--2-2,00032281173234,GNTETTEN-2-23,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/8""",ASR-GOLDMESHPANNINGMATERIALS-4,00706569845617,GP2-18-881,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/12""",ASR-GOLDMATERIALSINCHGREEN-2,00706569168501,GP2-112-BP-75,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/20""",ASR-GOLDSIFTINGMESHFREE-2,00706569294972,120GSP-165,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/30""",ASR-GOLDMESHPANNINGMATERIALS-6,00060886866800,GP2-13074-602,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","1/50""",ASR-GOLDMESHPANNINGMATERIALS-3,00706569731781,GP2-150-FGP,"5-Gallon Bucket Gold Classifier Screens | ASR Outdoor","Stackable 5-gallon bucket classifier screens with 304 stainless mesh from 1/2 to 1/30-inch. Sift and sort paydirt for higher-yield gold recovery.",1013,unisex,adult,new,US,regular
