needs,product_title,variant,sku,current_gtin,current_mpn,"MPN (fill in)","UPC (fill in)",handle,product_id,variant_id
"1-NO IDENTIFIER","ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",3lb,DOY-GOLDPAYDIRT-3LBS,,,,,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,8875920785708,47421057827116
"1-NO IDENTIFIER","ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",3oz,DOY-GOLDPAYDIRT-3OZ,,,,,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,8875920785708,47421057630508
"1-NO IDENTIFIER","Mini Logo EDC Small Pocket Knife Multitool (4 Colors)",Black,SON-MINPOCKKNV-KC7223-ASRLOGO-BLCK,,,,,mini-edc-small-pocket-knife-multitool-3-colors,10100504035628,52035082584364
"1-NO IDENTIFIER","Mini Logo EDC Small Pocket Knife Multitool (4 Colors)",Red,SON-MINPOCKKNV-KC7223-ASRLOGO,,,,,mini-edc-small-pocket-knife-multitool-3-colors,10100504035628,52391266713900
"1-NO IDENTIFIER","Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)","5pc USA Flag Patriotic Full Set",,,,,,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,10099746996524,52031585714476
"2-VERIFY MPN (looks auto-generated)","12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes)","Default Title",DOY-ASRO-12PCGEODEKIT-BUN,810131703004,ASRO-6MIFGLX4,,,12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,9636602347820,49797914100012
"2-VERIFY MPN (looks auto-generated)","2000 Lumen 5-Stage Rechargeable Flashlight with Adjustable Beam and SOS Mode Camping Gear, 7.5 Inches","Default Title",SON-ASRO-2000LUMENFLASHLIGHT-BUN,810131721053,ASRO-P28Q1COV,,,2000-lumen-5-stage-rechargeable-flashlight-with-adjustable-beam-and-sos-mode-7-5-inches,10246952878380,52716551799084
"2-VERIFY MPN (looks auto-generated)","3 Inch Locking Aluminum Carabiner Clip EDC Camping Hiking Gear (Assorted Colors)",Black,SON-ASRO-LOCKCARABINERS-BLK-STD,810131707453,ASRO-8ZX9MOLY,,,asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,10069742944556,51822971158828
"2-VERIFY MPN (looks auto-generated)","3 Inch Locking Aluminum Carabiner Clip EDC Camping Hiking Gear (Assorted Colors)","Olive Green",SON-ASRO-LOCKCARABINERS-GRN-STD,810131706029,ASRO-8WPM1QL0,,,asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,10069742944556,51822971191596
"2-VERIFY MPN (looks auto-generated)","3 Inch Locking Aluminum Carabiner Clip EDC Camping Hiking Gear (Assorted Colors)",Silver,SON-ASRO-LOCKCARABINERS-SLV-STD,810131706159,ASRO-KDXJL7R2,,,asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,10069742944556,51822971224364
"2-VERIFY MPN (looks auto-generated)","3000 Lumen 5-Stage Rechargeable Flashlight with Adjustable Beam and SOS Mode Camping Gear, 7.5 Inches","Default Title",SON-ASRO-3000LUMENFLASHLIGHT-BUN,810131770976,ASRO-P2NOQGK8,,,3000-lumen-5-stage-rechargeable-flashlight-with-adjustable-beam-and-sos-mode-7-5-inches,10246948356396,52716486951212
"2-VERIFY MPN (looks auto-generated)","Lightweight Waterproof Dry Sack Bags with Roll Top (3 Sizes, 3 Colors)","3L BLUE (210T Terylene)",SON-ASRO-3LSMALLDRYSACK-BLUE,810131705350,ASRO-DH78L0V5,,,15l-green-waterproof-dry-sack-gusseted-bottom-ripstop-nylon-bag,9516520374572,53136461201708
"2-VERIFY MPN (looks auto-generated)","Mini Stick On LED Lights 6 Pack Battery Operated Puck Lights with Magnet and Adhesive for Camping Gear RV Tool Boxes","Default Title",SON-ASRO-STICKONLIGHTS-6PK-BUN,810131744434,ASRO-4Z78KCXP,,,mini-stick-on-led-lights-6-pack-battery-operated-puck-lights-with-magnet-and-adhesive-for-camping-gear-rv-tool-boxes,10246957728044,52716573327660
"3-no SKU (identify by name)","First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc","Default Title",,,ASROFAK50PC,,,first-aid-kit-in-plastic-waterproof-case-emergency-supplies-survival-gear-50pc,10158773862700,52400237216044
"4-ok (has GTIN)","10 Inch Bottom Dual Riffle Gold Pan Gold Prospecting Equipment, Green","Default Title",SON-BTMRFLGP10IN-GRN,810058488091,01G2301PG0,,,10-inch-bottom-dual-riffle-gold-pan-gold-prospecting-equipment-green,10165513879852,52434487738668
"4-ok (has GTIN)","10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)",Black,SON-B10GRGTGP-10-BLCK-9,739558453968,ASRO-GP1RB,,,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629475628
"4-ok (has GTIN)","10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)",Green,SON-G10GRGTGP-10-GRN,706569698251,ASRO-GP1RG,,,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629442860
"4-ok (has GTIN)","10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)",Purple,SON-G10GRGTGP-10-PURP,060886836926,ASRO-GP1RP,,,10-inch-single-riffle-standard-gold-pan-multiple-colors,8517567316268,46028629541164
"4-ok (has GTIN)","10 Inch Triple Riffle Gold Pan Gold Prospecting Equipment, Green","Default Title",SON-AO10ITRIPRIFF-10-GRN,810058481948,,,,10-inch-triple-riffle-gold-pan-gold-prospecting-equipment-green,10165489860908,52434451431724
"4-ok (has GTIN)","10 in 1 Compact Survival Device Camping Hiking Gear Emergency Supplies, Green","Default Title",SON-ASRO-10IN1SURVIVALTOOL-GRN,0810131705091,,,,10-in-1-compact-survival-kit-camping-hiking-gear-emergency-supplies-green,9511347683628,49355135353132
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord",Black,SON-AOSBPRBS1FT-100F-BLCK,183730770419,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213751084
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord","Desert Camo",ASR-PRDC100FT-100PK-100FT-DSRTCM,706569580778,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214045996
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord",Green,SON-100FTGNGPR550LBS-100FT-NNGRN,713881115960,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214013228
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord",Grey,SON-PARACORD-100-7-GREY,060886472391,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213816620
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord",Khaki,SON-PARACORD-100-7-KHAKI,060886228684,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214111532
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord","OD Green",SON-AOSOGPRBS1FT-100F-OLVDRBGRN,716758539456,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213849388
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord",Orange,SON-AOSPRO100FT-100FT-ORNG,745121029423,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213914924
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord","Reflective Orange",SON-AOSPRORT100FT-RFLCTVORNG,169675307392,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582214078764
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord","Tan Camo",SON-PARACORD-100-7-TAN-CAMO,810058481900,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213947692
"4-ok (has GTIN)","100FT 7-Strand Nylon Paracord Parachute Cord","Woodland Camo",ASR-550LBSSSPRWC100FT-BUN-100PK-100FT,622848707172,,,,paracord-bundle-100-feet-x-15-inch-7-strand,9516412109100,51582213980460
"4-ok (has GTIN)","100pc Portable Dry Sack First Aid Kit Dry Emergency Preparedness Items Survival Gear","Default Title",SON-FIRSTAIDKIT-100PC,855569007324,,,,emergency-1-person-survival-first-aid-kit,9513024946476,49361681219884
"4-ok (has GTIN)","10L Collapsible Silicone Bucket Gold Prospecting Equipment","Without Stand",SON-COLLAPSBUCKET-10L-OD-CB10L,810058486134,,,,10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,8522154967340,46062879932716
"4-ok (has GTIN)","10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)",Black,SON-GOLDPANKIT-BLK-10PC-BUN,810058483607,,,,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386419500
"4-ok (has GTIN)","10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)",Blue,SON-GOLDPANKIT-BLU-10PC-BUN,810058485014,,,,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386452268
"4-ok (has GTIN)","10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)",Green,SON-GOLDPANKIT-GRN-10PC-BUN,810058481245,,,,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,8504355389740,45951386386732
"4-ok (has GTIN)","10pc Fine Gold Recovery Pocket Prospecting Kit in Clear Waterproof Container","Default Title",SON-POCKETGOLDKIT-11PC2,810058482112,,,,asr-outdoor-clear-pocket-portable-travel-gold-panning-kit-for-prospecting-11pc,10006929572140,51209301295404
"4-ok (has GTIN)","10pk Hand Warmers, 10 Hour Protection for Camping, Skiiing, Outdoors","Default Title",ASR-HWW8HPS-BUN-10PK-SML,810058487964,,,,10pk-hand-warmers-10-hour-protection-for-camping-skiiing-outdoors,9516340969772,49369965363500
"4-ok (has GTIN)","11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors)",Black,HWK-ASRO-MADEINUSAGP-11IN-BLK,810131703721,ASRO0GPUSA-B,,,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241183020
"4-ok (has GTIN)","11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors)",Green,HWK-ASRO-MADEINUSAGP-11IN-GRN,810131708849,ASRO0GPUSA,,,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241215788
"4-ok (has GTIN)","11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors)",Pink,HWK-ASRO-MADEINUSAGP-11IN-PNK,810131704780,ASRO0GPUSA-P,,,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241248556
"4-ok (has GTIN)","11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",Black,SON-NPT288-TROWEL-BLK,810131776503,ASR-HTOB,,,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,9082999210284,48146472108332
"4-ok (has GTIN)","11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",Orange,SON-HAND-TROWEL-ORANGE,060886070054,ASR-HTO,,,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,9082999210284,48146472173868
"4-ok (has GTIN)","11 Inch Stainless Steel Full Tang Fixed Blade Knife with Guthook for Fishing or Hunting","Default Title",NPT-G11IFTHK-2PC,624506342510,,,,11-inch-full-tang-hunting-guthook-knife-for-fishing-cleaning-fixed-blade,9516247875884,49369369182508
"4-ok (has GTIN)","11 in 1 Stainless Steel Credit Card Multitool with Black Leather Carry Case","Default Title",SON-11INSCCMT-SML-SLVR,139736812943,,,,11-in-1-multi-function-credit-card-sized-tool-with-black-sheath,9516488720684,49370659127596
"4-ok (has GTIN)","11.75oz Stainless Steel and Enamel Coffee Mug Camping Essentials, Classic Speckled Blue","Default Title",SON-ASRO-ENAMELCOFFEEMUG-BLU,810131704919,,,,11-75oz-stainless-steel-and-enamel-coffee-mug-camping-essentials-classic-speckled-blue,9892051288364,50794926539052
"4-ok (has GTIN)","11pc Complete Gold Panning Kit with Classifier Screens, Gold Pans and Prospecting Tools, Green","Default Title",SON-GOLDKIT11PC-2022-BUN,810058488886,,,,asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc,8521757655340,46059549851948
"4-ok (has GTIN)","12 Inch Full Tang Steel Axe Hatchet with Gut Hook Hex Holes Paracord Handle and Sheath, Black","Default Title",SON-MLCAHNGP-875L-GRN,801607304412,,,,12-inch-stainless-steel-full-tang-gut-hook-hunting-knife-with-sheath,9930931896620,50915086172460
"4-ok (has GTIN)","12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green","Default Title",SON-RIFFLESCOOP-GRN,810058482860,,,,gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,8521988899116,46060978405676
"4-ok (has GTIN)","12pk Water Resistant Non Toxic Slow Burning Tinder Sticks Camping Gear","Default Title",SON-TINDER-STICKS-12-PACK-IH,810058482426,,,,water-resistant-slow-burning-tinder-sticks-12-pack,9513170108716,49362260656428
"4-ok (has GTIN)","13 Inch Serrated Edge Digger, Versatile Hand Trowel for Breaking up Hard Ground","Default Title",SON-STEELDIGGER-GRN,060886306337,,,,13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground,9082933772588,48146163695916
"4-ok (has GTIN)","13 Pocket Musette Shoulder Tool Bag for Rock Hounding or Metal Detecting","Default Title",HWK-CARRYALLBAG-13PCKT,810058487094,NYLCOTB13,,,13-pocket-musette-carry-shoulder-bag-for-rock-hounding,8919490330924,47571432177964
"4-ok (has GTIN)","13pc Creekside Gold Panning Kit with Drawstring Backpack and Mini Classifiers","Default Title",SON-ASRO-CREEKSIDEGPKIT-13PC,810131700393,CKFK,,,asr-outdoor-creekside-gold-panning-kit-with-drawstring-backpack-and-mini-classifiers-13pc,9978779468076,51096477597996
"4-ok (has GTIN)","13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Black,SON-13PCGOLDKIT-BUN-BLK,810131705237,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244258092
"4-ok (has GTIN)","13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Brown,SON-13PCGOLDKIT-BUN-BRN,810131705749,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,52644022026540
"4-ok (has GTIN)","13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Green,SON-13PCGOLDKIT-BUN,810058486219,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244290860
"4-ok (has GTIN)","13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Khaki,SON-13PCGOLDKIT-BUN-KHAKI,810058486219,,,,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244225324
"4-ok (has GTIN)","14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors)",Black,SON-SCOOPNPROBE-GP3-SS23BK,810131708153,,,,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203724076
"4-ok (has GTIN)","14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors)",Green,SON-SCOOPNPROBE-GP3-SS23GG,810131707927,,,,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203756844
"4-ok (has GTIN)","14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors)",Orange,SON-SCOOPNPROBE-GP3-SS23OR,810131700768,,,,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203789612
"4-ok (has GTIN)","14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)",Black,SON-ASRO-GOLDPAN-14BLK,706569310139,,,,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,8517589303596,46028689244460
"4-ok (has GTIN)","14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)",Green,SON-ASRO-GOLDPAN-14GRN-PZ,189191741760,,,,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,8517589303596,46028689211692
"4-ok (has GTIN)","14 in 1 Stainless Steel ECD Utility Multitool Pocket Knife with Carry Pouch","Default Title",SON-SSMULTITOOL-WPOUCH-KC5011SP,810131704773,,,,stainless-steel-multi-tool-edc-utility-17-function-pocket-knife-with-carry-pouch,9513212182828,49362403655980
"4-ok (has GTIN)","14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Aluminum Sluice",SON-TRAVELGLDPNGKIT-GREEN-14PC-BUN,810058489272,,,,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,8495198667052,45922115748140
"4-ok (has GTIN)","14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Rubber Sluice",SON-TRAVELGLDPNGKIT-14PC-RUBBER,810058486981,,,,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,8495198667052,45922115780908
"4-ok (has GTIN)","14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black","Default Title",DOY-BLACKPANESSENTIALGEMS-KIT-WSH,617245081253,,,,14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black,8521749922092,46059470127404
"4-ok (has GTIN)","14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)","1/2 Inch",SON-SIFTCLASSKIT-14PC-BUN,810131709815,,,,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188707628
"4-ok (has GTIN)","14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)","1/4 Inch",SON-14INCHSIFTCLASSKIT-14PC-BUN,810131703158,,,,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188805932
"4-ok (has GTIN)","14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)","1/8 Inch",SON-18INCHSIFTCLASSKIT-14PC-BUN,810131700225,,,,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188773164
"4-ok (has GTIN)","14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors)",Black,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-BLK,810131706173,,,,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206279980
"4-ok (has GTIN)","14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors)","Desert Khaki",SON-ASRO-REMOTERUCKSACKGPKIT-14PC-KHK,810131706173,,,,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206345516
"4-ok (has GTIN)","14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors)",Green,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-GRN,810131702847,,,,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206312748
"4-ok (has GTIN)","15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Mini Aluminum Sluice Box",ASR-15PC-3LB-PAYDIRT-ALUMINUM,810131701291,,,,15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,8493678985516,45913725337900
"4-ok (has GTIN)","15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Mini Rubber Sluice Box",ASR-15PC-3LB-PAYDIRT-RUBBER,810131709990,,,,15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,8493678985516,45913725370668
"4-ok (has GTIN)","16 Inch Everyday Carry Travel Tool or Duffel Bag, Black","Default Title",HWK-TTX-DUFFELBAG-16IN-BLK,810131709549,,,,21l-everyday-carry-small-duffel-bag-for-travel-gym-outdoor-gear-black,9892955554092,50800040018220
"4-ok (has GTIN)","16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag","Default Title",DOY-BASIC-GEOKIT-BUN,810058480521,,,,asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag,8502535192876,45942932767020
"4-ok (has GTIN)","16pc Gold Prospecting Equipment Essentials Field Kit with Classifier Screens","Default Title",SON-ASRO-GPESSENTIALSKIT-17PC,810131705244,,,,17pc-gold-prospecting-equipment-essentials-field-kit-with-classifier-screens,10003820839212,51197657088300
"4-ok (has GTIN)","16pc Traditional Sluice Box Finishing Gold Panning Kit with Classifier Screens, Green","Default Title",SON-SLUICEBOXKIT-16PC,060886060048,,,,16pc-traditional-sluice-box-finishg-gold-panning-kit-with-classifier-screens-2-styles,8525173948716,46075730723116
"4-ok (has GTIN)","17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",Black,DOY-10LBSBBPAYDIRTKIT-17PC-BLK,810131701666,,,,asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,8493540180268,45912831689004
"4-ok (has GTIN)","17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)",Khaki,DOY-10LBSBBPAYDIRTKIT-17PC-KH,810131707903,,,,asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,8493540180268,45912831623468
"4-ok (has GTIN)","17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","OD Green",DOY-10LBSBBPAYDIRTKIT-17PC-GRN,810131707842,,,,asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,8493540180268,45912831656236
"4-ok (has GTIN)","19L Everyday Front Griptape Backpack with Padded Shoulder Straps, Green/Blue","Default Title",EVR-GRIPTAPEBP-ODGRNNVY,060886742388,,,,19l-griptape-backpack-dual-zip-two-tone-navy-od-green-travel-bag,10253919387948,52750628716844
"4-ok (has GTIN)","19pc Complete Fine Gold Recovery Kit Gold Prospecting Equipment with Mini Funnel","Default Title",SON-ASRO-GLDPNACCKIT-19PC-BUN,810131702984,,,,19pc-complete-fine-gold-recovery-kit-gold-prospecting-equipment-with-mini-funnel,8644958716204,46740739653932
"4-ok (has GTIN)","19pc Metal Detector Accessories Kit with Musette Style Field Tool Bag","Default Title",SON-ASRO-METALDETECTKIT-19PC-BUN,810131707866,,,,19pc-metal-detector-accessories-kit-with-musette-style-field-tool-bag,9025218904364,47964772696364
"4-ok (has GTIN)","19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick","Default Title",DOY-PANNINGMATERIALS-KIT,608866851868,,,,19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,8521825714476,46060090720556
"4-ok (has GTIN)","1pc Stainless Steel Gold Prospecting Carabiner Keychain, Lightweight Durable EDC Key Holder with Split Ring (2 Styles)","Gold Panner",SON-ASRO-GOLDPANNER-KEYCHAIN-STD,810131708719,,,,1pc-stainless-steel-gold-prospecting-carabiner-keychain-lightweight-durable-edc-key-holder-with-split-ring-2-styles,10264366874924,52809008054572
"4-ok (has GTIN)","1pc Stainless Steel Gold Prospecting Carabiner Keychain, Lightweight Durable EDC Key Holder with Split Ring (2 Styles)","Sluice Box",SON-ASRO-SLUICEBOX-KEYCHAIN-STD,810131706531,,,,1pc-stainless-steel-gold-prospecting-carabiner-keychain-lightweight-durable-edc-key-holder-with-split-ring-2-styles,10264366874924,52809008087340
