"sku","parent.sku","name","age_group","battery_technology_ebay","blade_edge_type_amazon","blade_length_ebay","blade_material_ebay","capacity","care_instructions_amazon","character_ebay","dexterity_walmart","fabric_type_amazon","fill_material_type_amazon","formulation","fragrance","frame_material","handle_material_ebay","ingredients_amazon","occasion","power_source","recommended_age_range","style_ebay","voltage_ebay","sport_type_amazon"
"MCN-GASG1OZGRT-1OZT-CLR-3PK","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-2PK","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-WAL-RVW","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-SQUIRRL","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-SQUIRRL-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kits with Iron-On Neoprene Patch, Fix Seams and Tears","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK-2PK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kit with Iron-On Neoprene Patch, Fix Seams and Tears, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 8 oz","Adult","","","","","","","","","","","","","","","","","manual","","GEAR AID FD Repair","",""
"MCN-MGAA8OZWGRA-8OZ-CLR-AMZN-HVAR","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal Aquaseal FD Flexible Durable Repair Adhesive - 8oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR-2PK","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MPCLAWFHAOSE-SML-PNK-2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Pink Camo Lightweight Adhesive Wrap Hunting Outdoor Equipment","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR-2PK","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60"", 2-Pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGB-COMBO-KIT-AMZVAR-HPR","MCN-SEAGLD-AMZN-PARENT","Sea Gold Anti Fog Gel and Sea Buff Dive Mask Precleaner Combo Pack","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGOLDGEL-2PK-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGOLDGEL-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SGFRKFGA-SML-2PK","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz, 2-pk","Adult","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPEOUTDOOR-BLK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Outdoor, 3""x20""","Adult","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPEOUTDOOR-BLK-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Outdoor, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPE-SILNYLON-3X5","MCN-TTAPE-SILNYLON-3X5-PARENT","GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent and Tarp Repair, 3""x5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPE-SILNYLON-3X5-2PK","MCN-TTAPE-SILNYLON-3X5-PARENT","GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent and Tarp Repair, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"SON-15X15SLPB-100PC-15X15-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bag All Purpose Storage Baggies - 100 Pack 1.5 x 1.5 Inches","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-2X2SLPB-100PC-2X2-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies 100 pack - 2 x 2 Inches","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-3X3SLPB-100PC-3X3-CLR","SON-100PKZIPLOCKBAG-PARENT","100pk 3 x 3 Self Locking Plastic Bags 2mm Thick All Purpose Storage Baggies","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-3X4SLPB-100PC-3X4-CLR","SON-100PKZIPLOCKBAG-PARENT","100pk 3 x 4 Self Locking Plastic Bags 2mm Thick All Purpose Storage Baggies","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-4X4SLPB-100PC-4X4-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies 100 Pack 4 x 4 Inches","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-4X5SLPB-100PC-4X5-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies 100 Pack 4 x 5 Inches","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-5X5SLPB-100PC","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies - 100 Pack 5 x 5 Inches","","","","","","","","","","","","","","","","","","","","","",""
"SON-5X6SLPB-100PC-5X6-CLR","SON-100PKZIPLOCKBAG-PARENT","100pk Self Locking Plastic Bags 2mm Thick All Purpose Storage Baggies - 5 x 6 in","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-5X7SLPB-100PC-5X7-CLR","SON-100PKZIPLOCKBAG-PARENT","100pk 5 x 7 Self Locking Plastic Bags 2mm Thick All Purpose Storage Baggies","","","","","","","","","","","","","","","","","","","","","",""
"SON-6X9SLPB-100PC-6X9-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies 100 Pack 6 x 9 Inches","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-8IX10IZLB-100PC-LG-CLR","SON-100PKZIPLOCKBAG-PARENT","100pk 8 Inch X 10 Inch Clear Strong Zip Lock Bags","Adult","","","","","","","","","","","","","","","","","","","","",""
"SON-GCFGM25B4I-25X4-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Graphite Crucible Tool for Melting Gold Silver Jewelry Making - 2.5 x 4 inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-GRAPHITECRUCIBLE-21","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 1.5 by 1.5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-GRAPHITECRUCIBLE-2375","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 1.25 by 1.25 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-GRAPHITECRUCIBLE-253","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 3 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-GRAPHITECRUCIBLE-2535","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 3.5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM25B25I-25X25-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver - 1.33 x 1.33 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM25B65I-25X65-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Gold Melting 2.5 by 6.5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM25BI-25X55-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 5.5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM25BI-25X5-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BOOTKIT-SUEDE-36769","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck Fabric Boot and Shoe Care Kit, Ideal for use on Waterproof-breathable Footwear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BOOTKIT-SUEDE-36769-2PK","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck Fabric Boot and Shoe Care Kit, Ideal for use on Waterproof-breathable Footwear","","","","","","","","","","","","","","","","","","","","","",""
"SON-GC2525-1X1","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Metal, 1 x 1 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR-WAL","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 8 oz","Adult","","","","","","","","","","","","","","","","","manual","","GEAR AID FD Repair","",""
"MCN-GA8OZSGWUSWUA-8OZ-WAL","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 8 oz","Adult","","","","","","","","","","","","","","","","","","","","",""
"MCN-MCFMOOSACGW-MSSYOKOBSSSN-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Camo Form Mossy Oak Obsession Stretch and Cling Gun Wrap","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCFKHGW-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","GEAR AID Camo Form Self-Cling and Reusable Camouflage Wrap, Kryptek Highlander, 2"" x 144"" Roll","Adult","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCFRHDFWMOD-STD-CM-E2","MCN-CAMOFORM-EBAY2-PARENT","GEAR AID Camo Form Self-Cling and Reusable Camouflage Wrap, Mossy Oak Shadow Grass, 2"" x 144"" Roll","Adult","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTPFWCFWD-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Tactical Camo Form Protective Camouflage Wrap - Digital Woodland","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MCFSRHDFW-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Camo Form Protective Fabric Wrap Self-Cling Winter Hunting - Snow","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCFRHFWDD-STD-DSRTDGTL-E2","MCN-CAMOFORM-EBAY2-PARENT","Tactical Camo Form Reusable Heavy-Duty Fabric Wrap for Hunting - Desert Digital","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MCFMCWRHDFW-STD-CM-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Tactical Camo Form Protective Camouflage Wrap - Multicam","Adult","","","","","","","","","","","","","","","","","","","","",""
