"sku","parent.sku","name","animal_type_walmart","blade_color_amazon","character_walmart","closure_type_amazon","color_name_amazon","display_type_amazon","material_type_amazon","mpn_walmart","number_of_light_sources_amazon","numberofpieces_walmart","patternvalue_walmart","placement_on_vehicle","sportsglobalsportsteam_newegg","style_keywords_amazon","surface_finish","variation_model","watch_movement_type_amazon","system_of_measurement","themevalue_walmart","backpack_design_amazon","material_features_amazon","vehicle_form_amazon"
"4SN-DOVEHANDSOAP-PNK","4SN-DOVEHANDSOAP-PARENT","Dove Pink Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body 4oz","","","","","","","","","","","","","","","","DBBHSGT","","","","","",""
"4SN-DOVEHANDSOAP-REJ","4SN-DOVEHANDSOAP-PARENT","Dove Go Fresh Beauty Bar Rejuvenate Soap Hand Body Cream for Soft Skin 4.75oz","","","","","","","","","","","","","","","","DBBHSGT","","","","","",""
"4SN-DOVEHANDSOAP-WHT","4SN-DOVEHANDSOAP-PARENT","Dove Original Formula Cream Moisturizer Beauty Bar Hand and Facial Soap 4.75oz","","","","","","","","","","","","","","","","DBBHSGT","","","","","",""
"4SN-GARDENTOOL-HOE","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Hoe Cultivator Combo Gardening Tool","","","","","","","","","","","","","","","","","","","","","",""
"4SN-GARDENTOOL-RAKE","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Triple Claw 3 Prong Garden Rake Cultivator","","","","","","","","","","","","","","","","","","","","","",""
"4SN-GARDENTOOLS-3PC-BUN","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Tools Set Rake Shovel Hoe 3 Pieces","","","","","","","","","","","","","","","","","","","","","",""
"4SN-GARDENTOOL-SHOV","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Round Point Shovel Trowel Tool 14 Inch","","","","","","","","","","","","","","","","","","","","","",""
"4SN-LSPEEDSTICK-PDF","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh","","","","","","","","","","","","","","","","LSSSBLDAP14","","","","","",""
"4SN-LSPEEDSTICK-SBL","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Shower Fresh","","","","","","","","","","","","","","","","LSSSBLDAP14","","","","","",""
"4SN-LSPEEDSTICK-SBL-NEW","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Spring Blossom","","","","","","","","","","","","","","","","LSSSBLDAP14NEW","","","","","",""
"4SN-LSPEEDSTICK-WLF","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Wild Freesia","","","","","","","","","","","","","","","","LSSSBLDAP14","","","","","",""
"4SN-PINCHBOWL-47332-12PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 12pc","","","","","","","glass","","","","","","","","","","","","","","",""
"4SN-PINCHBOWL-47332-2PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 2pc","","","","","","","glass","","","","","","","","","","","","","","",""
"4SN-PINCHBOWL-47332-4PC-IH","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 4pc","","","","","","","glass","","","","","","","","","","","","","","",""
"4SN-PINCHBOWL-47332-8PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 8pc","","","","","","","glass","","","","","","","","","","","","","","",""
"4SN-SAVBANK-AVG-15267-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Marvel Avengers Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Avengers","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-BAT-15281-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","DC Comics Batman Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Batman","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-FRZN-VAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Frozen 2 Tin Piggy Bank Money Learning Savings Tools for Kids","","","Disney","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-JOJO-24635-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Nickelodeon JoJo Siwa Kids Tin Piggy Bank Learning Savings Tools for Kids","","","JoJo Siwa","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-LIO-15283-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney The Lion King Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Lion King","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-LOL-15268-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","LOL Surprise Kids Tin Piggy Bank Learning Savings Tools for Kids","","","LOL Surprise","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-MIC22201-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Mickey Mouse Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Mickey Mouse","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-MIN-22202-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Minnie Mouse Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Minnie Mouse","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-PAW-15272-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Nickelodeon Paw Patrol Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Paw Patrol","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-SPIDERMAN-VAR","4SN-SAVBANK-CHARACTER-PARENT","Spiderman Tin Piggy Bank Learning Savings Tools for Kids, Assorted Designs","","","Spiderman","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-SPIDERMAN-WAL-VAR","4SN-SAVBANK-CHARACTER-PARENT","Spiderman Tin Piggy Bank Learning Savings Tools for Kids, Assorted Designs","","","Spiderman","","","","","","","","","","","","","","","","","","",""
"4SN-SAVBANK-TS4-15282-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Pixar Toy Story 4 Kids Tin Piggy Bank Learning Savings Tools for Kids","","","Toy Story","","","","","","","","","","","","","","","","","","",""
"4SN-SPORTSBOTTLE-GRY","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Grey","","","","","","","plastic","","","","","","","","","","","","","","",""
"4SN-SPORTSBOTTLE-PURP","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Purple","","","","","","","plastic","","","","","","","","","","","","","","",""
"4SN-SPORTSBOTTLE-TEA","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Teal","","","","","","","plastic","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-AVG-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Avengers LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-BAT-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Batman LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-BBY-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Baby Yoda LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-BLP-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Black Panther LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-FRZ-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Frozen 2 LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-HLK-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Hello Kitty LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-JOJ-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed JoJo Siwa LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-JOJ-56920-AMZ","4SN-TOUCHWATCH-56920-PARENT","Licensed JoJo Siwa LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-LAS-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Lilo and Stitch LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-LAS-56903-AMZ","4SN-TOUCHWATCH-56920-PARENT","Licensed Lilo and Stitch LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-LOL-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed LOL Surprise LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-MAR-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Super Mario LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-MIC-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Mickey Mouse LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-MIN-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Minnie Mouse LED Display Digital Touch Screen Watch for Kids - Pink","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-PRP-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Disney Princess LED Display Digital Touch Screen Watch for Kids Purple","","","Disney Princess","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-SPI-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Spiderman LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-STW-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Star Wars LED Display Digital Touch Screen Watch for Kids - Black","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-SUP-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Superman LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-TS4-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Toy Story 4 LED Display Digital Touch Screen Watch for Kids - Blue","","","","","","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-WWM-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Wonder Woman LED Display Digital Touch Screen Watch for Kids - White","","","","","","","","","","","","","","","","","","","","","",""
"4SN-WALLCLOCK-CAPT-62678","4SN-WALLCLOCK-PARENT","Marvel Captain America Kids Analog Wall Clock Kids Bedroom Home Decor Wall Art","","","","","","analog","","","","","","","","","","","swiss-quartz","","","","",""
"4SN-WALLCLOCK-SONIC-55513","4SN-WALLCLOCK-PARENT","Sonic the Hedgehog Kids Analog Wall Clock Kids Bedroom Home Decor Wall Art","","","","","","analog","","","","","","","","","","","swiss-quartz","","","","",""
"4SN-WALLCLOCK-TOY-62675","4SN-WALLCLOCK-PARENT","Disney Pixar Toy Story Kids Analog Wall Clock Kids Bedroom Home Decor Wall Art","","","","","","analog","","","","","","","","","","","swiss-quartz","","","","",""
"4SN-XMASSTOCKING-80554X-RUZ","DLT-CHARSTOCKS-PARENT","Kids Red Jumbo Holiday Stocking with Plush Faux Fur Trim 18 Inch Tall","","","","","","","","","","","","","","","","","","","","","",""
"ABC-FIRETRUCK-7040","ABC-FIRETRUCKPOLCAR-PARENT","Kidplokio 360 Degree Bump and Go Fire Truck Lights and Sounds Boys Ages 3 and Up","","","First Responders","","","","plastic","","","","","","","","","","","","","","",""
"ABC-FIRETRUCKPOLCAR-BUN","ABC-FIRETRUCKPOLCAR-PARENT","Kidplokio 2pc 360 Degree Bump and Go Fire Truck and Police Car Bundle Toy Set","","","First Responders","","","","plastic","","","","","","","","","","","","","","",""
"ABC-POLICECAR-8618","ABC-FIRETRUCKPOLCAR-PARENT","Kidplokio 360 Degree Bump and Go Police Car Lights and Sounds Boys Ages 3 and Up","","","First Responders","","","","plastic","","","","","","","","","","","","","","",""
"ALI-11ISBCCMTWCC-SML-BLCK","SON-CREDITCARDSURVIVALTOOL-PARENT","ASR Outdoor 11 in 1 Multi Black Function Credit Card Sized Tool with Sheath","","","","","","","","","","","","","","","","11I1CCT-20PK-330","","","","","",""
"ALI-PARANECK-SER-BLK","ALI-PARANECK-PARENT","ASR Outdoor Paracord Necklace with Serrated Fire Starter Striker Tool - Black","","","","","","","","","","","","","","","","","","","","","",""
"ALI-PARANECK-SER-ORG","ALI-PARANECK-PARENT","ASR Outdoor Paracord Necklace with Serrated Fire Starter Striker Tool - Orange","","","","","","","","","","","","","","","","","","","","","",""
"ALI-PARANECK-STR-BLK","ALI-PARANECK-PARENT","ASR Outdoor Paracord Necklace with Straight Blade Fire Starter Striker Tool - Black","","","","","","","","","","","","","","","","","","","","","",""
"ALI-PARANECK-STR-ORG","ALI-PARANECK-PARENT","ASR Outdoor Paracord Necklace with Straight Blade Fire Starter Striker Tool - Orange","","","","","","","","","","","","","","","","","","","","","",""
"ALI-PINCHBOWL-SMALL-1INCH-12PC","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 12pc","","","","","","","glass","","","","","","","","","","","","","","",""
"SON-SSSWCTS-7PC","SON-SSDESWCT-PARENT","Universal Tool Spatula Wax Carver Ceramic Pottery Double Ended Tool Set, 7pc","","","","","","","","","","","","","","","","","","","","","",""
"ALI-PINCHBOWL-SMALL-1INCH-2PC","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 2pc","","","","","","","glass","","","","","","","","","","","","","","",""
"ALI-PINCHBOWL-SMALL-1INCH-4PC","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 4pc","","","","","","","glass","","","","","","","","","","","","","","",""
"ALI-PINCHBOWL-SMALL-1INCH-8PC","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 8pc","","","","","","","glass","","","","","","","","","","","","","","",""
"ALUMCASE-CONTAINERS-12PC","ALUMCASE-CONTAINERS-PARENT","12pc Jewelery and Crafting Small Aluminum Container Jars","","","","","","","","","","","","","","","","UHASC-VAR-199","","","","","",""
