item_id,category_id,aspect,importance,mode,cardinality,allowed_values,values_sample,title
366005344632,261068,Character,recommended,FREE_TEXT,MULTI,4077,"22 | Aang | Aayla Secura | Abe Sapien | Abin Sur | Abominus","Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
235528772889,31387,Model,recommended,FREE_TEXT,SINGLE,2302,"A. Lange & Söhne 1815 | A. Lange & Söhne Arkade | A. Lange & Söhne Cabaret | A. Lange & Söhne Datograph | A. Lange & Söhne Lange 1 | A. Lange & Söhne Langematik","Licensed Kids LED Display Digital Touch Screen Watch Boys Girls Cartoons"
126370118291,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Home Gym Work Out Poster - Laminated (Many Exercises)"
126450542804,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Poster Series - Yoga Exercises | Laminated or Non-Laminated"
126481444436,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Poster Series Lower Body Stretching Exercises Non-Laminated"
127389838912,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Poster Series - Dumbbell Exercises (Upper & Core) Home Use"
127389932528,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Poster Series (Medicine Ball) Basic Exercises for At Home Use"
127737051015,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Poster Series Upper Body Stretching Exercises Non-Laminated"
236345056414,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Dumbbell Exercises Laminated Fitness Poster 4 Pack"
236345069175,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Muscle Diagrams Poster Series Male and Female for Use At Home"
236345160660,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Resistance Tubing Workout Training Poster Series Home Use"
364839375985,28009,Artist,recommended,FREE_TEXT,MULTI,1383,"A.R. Penck | A.R. Quinton | Aaron Campbell | Aaron Horkey | Aaron Kuder | Abraham Palatnik","Productive Fitness Fighthrough Series Work Out Poster Laminated (6 Styles)"
127488196314,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
366005344632,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
236344962462,261186,Topic,recommended,FREE_TEXT,MULTI,902,"3D Art | 3D Design | ABCs/Numbers | Abstract Art | Abstract Photography | Abuse","ASR Outdoor Comprehensive Wilderness Travel Medicine Emergency Guide"
236345056400,261186,Topic,recommended,FREE_TEXT,MULTI,902,"3D Art | 3D Design | ABCs/Numbers | Abstract Art | Abstract Photography | Abuse","Kidplokio Bible Coloring Book for Kids Activity Book with Puzzles 96 Pages - 2pk"
235148716431,175750,Character,recommended,FREE_TEXT,MULTI,865,"Abbey Bominable | Abin Sur | Abra Kadabra | Acer | Adam Strange | Airy Ardet","ASR Outdoor Queen Size 60x80 Southwest Wilderness Adventure Fleece Throw Blanket"
235456017127,1105,Publisher,recommended,FREE_TEXT,SINGLE,865,"1517 Media | A + K Peter's, The Limited | Aardvark Global Publishing | ABA | ABC-Clio | ABC-Clio, LLC","Productive Fitness Exercise Equipment Training Reference Guide Handbooks"
127389857830,20702,Character,recommended,FREE_TEXT,MULTI,713,"Abbey Bominable | Abin Sur | Acer | Adam Strange | Airy Ardet | Akane Isshiki","Universal Home LED 7 Color Changing Mood Light Ambiance Home Decor White Light"
235396232983,20702,Character,recommended,FREE_TEXT,MULTI,713,"Abbey Bominable | Abin Sur | Acer | Adam Strange | Airy Ardet | Akane Isshiki","2pk Home LED 7 Color Changing Mood Lamp Ambiance Light Home Decor"
365879832353,112581,Character,recommended,FREE_TEXT,MULTI,713,"Abbey Bominable | Abin Sur | Acer | Adam Strange | Airy Ardet | Akane Isshiki","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
126450542814,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Kids Characters School Backpack Officially Licenesed with Adjustable Straps"
126488763142,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","18 Inch Kids Licensed Cartoon Cinch Bag Travel Backpack Drawstring Tote"
126505506359,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Baby Yoda 2pc Kids 18 Inch Cinch Bags Travel Backpacks Drawstring Totes Set"
127239775819,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","DC Comics Superman 2pc Cinch Bag Drawstring Backpacks Bundle Boys Age 3 and Up"
127389838865,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Disney Mickey Mouse 13pc Cinch Bag Drawstring Backpack Toys Bundle Kids Age 3+"
127389857839,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Harry Potter School Supplies 9.5 Inch Gryffindor Kids Mini Backpack with Art Kit"
127389932540,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Toy Story 19pc Cinch Bag Drawstring Backpack Sticker Sheet Earrings Gift Bundle"
235917170385,52357,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","ASR Outdoor 21L Everyday Carry Black Duffel Bag for Travel Gym Outdoor Gear"
236344962455,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Kidplokio 12pc Army Semi Truck Superhero Cinch Bag Backpack Gift Bundle Boys 3+"
236345069159,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Toy Story 4 Kids Cinch Bag Travel Backpack with 4pc Sticker Sheet Bundle Set"
236345069187,52357,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","ASR Outdoor 16 Inch Everyday Carry Travel Tool or Duffel Bag, Black"
236345137232,52357,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","ASR Outdoor Round Duffel Bag Adjustable Shoulder Strap Travel 16 Liter"
365879907951,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Hello Kitty 2pc Mini Backpack and Lunch Box Set School Bags for Girls 3 and Up"
365879950536,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Kidplokio Kids School Backpack Critter Panda Face for Children"
365879950543,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Marvel Avengers 16pc Cinch Bag Drawstring Backpacks Erasers Play Pack Gift Set"
365879996405,260988,"Product Line",recommended,FREE_TEXT,SINGLE,638,"Alexander McQueen Legend | Alexander McQueen Novak | Alexander McQueen Skull | Alexander Wang Rocco | Alexander Wang Rockie | Anya Hindmarch I Am Not A Plastic Bag","Marvel Spiderman 18pc Cinch Bag Drawstring Backpack Stickers Toys Gift Bundle"
127389838909,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Marvel Ultimate Spider-Man Titan Hero Series Action Figure 12 Inch (2 Styles)"
127488196314,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
366005344632,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
364881885930,261069,"Signed By",recommended,FREE_TEXT,MULTI,601,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Ahmed Best | Alan Dale","Kidplokio Pirate Ship Ocean Adventure Playset, Lights Sounds Action Figures, Red"
127389857830,20702,"Character Family",recommended,FREE_TEXT,SINGLE,493,".Hack// | 101 Dalmatians | A Certain Scientific Railgun S | Action Man | Akira | Aladdin","Universal Home LED 7 Color Changing Mood Light Ambiance Home Decor White Light"
235396232983,20702,"Character Family",recommended,FREE_TEXT,SINGLE,493,".Hack// | 101 Dalmatians | A Certain Scientific Railgun S | Action Man | Akira | Aladdin","2pk Home LED 7 Color Changing Mood Lamp Ambiance Light Home Decor"
365879832353,112581,"Character Family",recommended,FREE_TEXT,SINGLE,493,".Hack// | 101 Dalmatians | A Certain Scientific Railgun S | Action Man | Akira | Aladdin","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
127488196314,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)"
236344962456,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up"
236460252577,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)"
365879996393,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Star Wars Bump N Go D-O with Authentic Voice Kids Plush Toy Action Figure Doll"
366005344632,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)"
127389857807,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Antique Grandfather Brass Clock Key 2 Pack Even & Odd"
127389857840,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Antique Grandfather Clock Winding Brass Key 5 Way (Even)"
235240675875,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Antique Grandfather Clock Winding Brass Key 5 Way (Even)"
236345056407,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Antique Grandfather Brass Clock Key Odd"
236345137201,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Even Numbers"
365879908026,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Antique Grandfather Brass Clock Key 2 Pack"
365879996435,261610,Character,recommended,FREE_TEXT,MULTI,487,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Odd Numbers"
127389838928,11662,Character,recommended,FREE_TEXT,MULTI,484,"Abin Sur | Abra Kadabra | Adam Strange | Akane Isshiki | Akeno Himejima | Alfred Pennyworth","Beille 6 Side Stainless Steel Grater Top Handle Zester Slicer 7.75 Inch - Pink"
235148716431,175750,"Character Family",recommended,FREE_TEXT,SINGLE,451,".Hack// | 101 Dalmatians | A Bug's Life | A Certain Scientific Railgun S | Action Man | Akira","ASR Outdoor Queen Size 60x80 Southwest Wilderness Adventure Fleece Throw Blanket"
127389768415,52510,"For Gun Make",recommended,FREE_TEXT,MULTI,450,"A.J. Aubrey | AA Arms | Accuracy International | Accu-Tek | Action Arms | Agawam","Flatline Ops 30mm Rifle Scope Mount ADI/ACI Ring System for Scopes"
364811452556,52510,"For Gun Make",recommended,FREE_TEXT,MULTI,450,"A.J. Aubrey | AA Arms | Accuracy International | Accu-Tek | Action Arms | Agawam","Flatline Ops Halo-X Ultra Precision Rigid Scope Level Bubble (Multiple Sizes)"
127389857807,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Antique Grandfather Brass Clock Key 2 Pack Even & Odd"
127389857840,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Antique Grandfather Clock Winding Brass Key 5 Way (Even)"
235240675875,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Antique Grandfather Clock Winding Brass Key 5 Way (Even)"
236345056407,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Antique Grandfather Brass Clock Key Odd"
236345137201,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Even Numbers"
365879908026,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Antique Grandfather Brass Clock Key 2 Pack"
365879996435,261610,Franchise,recommended,FREE_TEXT,SINGLE,428,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Odd Numbers"
364881885930,261069,Franchise,recommended,FREE_TEXT,SINGLE,423,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Kidplokio Pirate Ship Ocean Adventure Playset, Lights Sounds Action Figures, Red"
127389838928,11662,Franchise,recommended,FREE_TEXT,SINGLE,420,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Beille 6 Side Stainless Steel Grater Top Handle Zester Slicer 7.75 Inch - Pink"
126370118291,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Home Gym Work Out Poster - Laminated (Many Exercises)"
126450542804,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Poster Series - Yoga Exercises | Laminated or Non-Laminated"
126481444436,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Poster Series Lower Body Stretching Exercises Non-Laminated"
127389838912,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Poster Series - Dumbbell Exercises (Upper & Core) Home Use"
127389932528,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Poster Series (Medicine Ball) Basic Exercises for At Home Use"
127737051015,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Poster Series Upper Body Stretching Exercises Non-Laminated"
236345056414,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Dumbbell Exercises Laminated Fitness Poster 4 Pack"
236345069175,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Muscle Diagrams Poster Series Male and Female for Use At Home"
236345160660,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Resistance Tubing Workout Training Poster Series Home Use"
364839375985,28009,Culture,recommended,FREE_TEXT,SINGLE,412,"Achomawi | Ainu | Aleut | Anēwan | Ankamuti | Apache","Productive Fitness Fighthrough Series Work Out Poster Laminated (6 Styles)"
365680341386,10034,"Character Family",recommended,FREE_TEXT,SINGLE,411,".Hack// | A Certain Scientific Railgun S | Action Man | Akira | Alf | Alias","Licensed Kids Coin Tin Piggy Bank Learning Savings Tools for Kids (Many Styles)"
126370118291,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Home Gym Work Out Poster - Laminated (Many Exercises)"
126450542804,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Poster Series - Yoga Exercises | Laminated or Non-Laminated"
126481444436,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Poster Series Lower Body Stretching Exercises Non-Laminated"
127389838912,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Poster Series - Dumbbell Exercises (Upper & Core) Home Use"
127389932528,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Poster Series (Medicine Ball) Basic Exercises for At Home Use"
127737051015,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Poster Series Upper Body Stretching Exercises Non-Laminated"
236345056414,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Dumbbell Exercises Laminated Fitness Poster 4 Pack"
236345069175,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Muscle Diagrams Poster Series Male and Female for Use At Home"
236345160660,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Resistance Tubing Workout Training Poster Series Home Use"
364839375985,28009,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,402,"ABBA | AC/DC | Adam Levine | Aerosmith | Aisha Tyler | Alain Delon","Productive Fitness Fighthrough Series Work Out Poster Laminated (6 Styles)"
126370118291,28009,Character,recommended,FREE_TEXT,MULTI,382,"Adèle Blanc-Sec | Agrippine | Akira Fudo | Aladdin | Alien Baltan | Anakin Skywalker","Productive Fitness Home Gym Work Out Poster - Laminated (Many Exercises)"
126450542804,28009,Character,recommended,FREE_TEXT,MULTI,382,"Adèle Blanc-Sec | Agrippine | Akira Fudo | Aladdin | Alien Baltan | Anakin Skywalker","Productive Fitness Poster Series - Yoga Exercises | Laminated or Non-Laminated"
126481444436,28009,Character,recommended,FREE_TEXT,MULTI,382,"Adèle Blanc-Sec | Agrippine | Akira Fudo | Aladdin | Alien Baltan | Anakin Skywalker","Productive Fitness Poster Series Lower Body Stretching Exercises Non-Laminated"
127389838912,28009,Character,recommended,FREE_TEXT,MULTI,382,"Adèle Blanc-Sec | Agrippine | Akira Fudo | Aladdin | Alien Baltan | Anakin Skywalker","Productive Fitness Poster Series - Dumbbell Exercises (Upper & Core) Home Use"
127389932528,28009,Character,recommended,FREE_TEXT,MULTI,382,"Adèle Blanc-Sec | Agrippine | Akira Fudo | Aladdin | Alien Baltan | Anakin Skywalker","Productive Fitness Poster Series (Medicine Ball) Basic Exercises for At Home Use"
