"sku","parent.sku","name","mpn","warranty","height","length","width","weight","brand_ebay","color","country_of_origin","department_ebay","features_ebay","material","model","mpn_ebay","number_of_pieces","package_includes","pattern","prop65_warn_type","shape","suitable_for","theme","type"
"SON-GRAPHITECRUCIBLE-2535","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 3.5 Inch","","","","","","","","","","","","","","","","","","","","","",""
"SON-UTGCFGM25B25I-25X25-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver - 1.33 x 1.33 Inch","UTGC25-671","","2.5","2.5","2.5","0.42","","Charcoal","India","","","Graphite","UTGC25-671","","1","(1) Graphite Crucible 2.5"" x 2.5""","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"SON-UTGCFGM25B65I-25X65-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Gold Melting 2.5 by 6.5 Inch","UTGC65","","3","7","3","0.9","","Charcoal","India","","","Graphite","UTGC25","","1","(1) Graphite Crucible 2.5\"" x 6.5\""","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"SON-UTGCFGM25BI-25X55-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 5.5 Inch","UTGC25-484-2555","","2.5","2.5","5.5","0.86","","Charcoal","India","","","Graphite","UTGC25-484-2555","","","(1) Graphite Crucible 2.5"" x 5.5""","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"SON-UTGCFGM25BI-25X5-CHRCL","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Gold and Silver 2.5 by 5 Inch","UTGC25-484","","2.5","2.5","5","0.72","","Charcoal","India","","","Graphite","UTGC25-484","","","*(1) Graphite Crucible 2.5\"" x 5\""","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","",""
"MCN-BOOTKIT-SUEDE-36769","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck Fabric Boot and Shoe Care Kit, Ideal for use on Waterproof-breathable Footwear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BOOTKIT-SUEDE-36769-2PK","MCN-GARNASFWAWK-KIT-PARENT","GEAR AID Revivex Suede, Nubuck Fabric Boot and Shoe Care Kit, Ideal for use on Waterproof-breathable Footwear","","","","","","","","","","","","","","","","","","","","","",""
"SON-GC2525-1X1","SON-GRAPHITECRUCIBLES-PARENT","Universal Tool Graphite Crucible for Melting Metal, 1 x 1 Inch","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR-WAL","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 8 oz","10714","","0.8","4.5","2","0.5","Gear Aid","Clear","United States","","","Patented","10714-109","","1","(1) 8oz Tube of Aquaseal Adhesive for Gear Repair","","","","","",""
"MCN-GA8OZSGWUSWUA-8OZ-WAL","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 8 oz","10910","","2.75","8.63","1.75","0.55","Gear Aid","White","United States","","","Patented","10910-893","","1","(1) 8oz Tube of Seam Grip SeamSealer","","","","","",""
"MCN-MCFMOOSACGW-MSSYOKOBSSSN-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Camo Form Mossy Oak Obsession Stretch and Cling Gun Wrap","824-CFMOO","","2","8","4.5","0.21","Gear Aid","Mossy Oak Obsession","United States","","","Fabric Wrap","","","","(1) Camo Form Mossy Oak Obsession","","","","","",""
"MCN-MTCFKHGW-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","GEAR AID Camo Form Self-Cling and Reusable Camouflage Wrap, Kryptek Highlander, 2"" x 144"" Roll","19550","","8","4","2.5","0.21","","Kryptek Highlander","United States","","","","","","","","","","","","",""
"MCN-MTCFRHDFWMOD-STD-CM-E2","MCN-CAMOFORM-EBAY2-PARENT","GEAR AID Camo Form Self-Cling and Reusable Camouflage Wrap, Mossy Oak Shadow Grass, 2"" x 144"" Roll","19502","","8","4","2.5","0.21","","Mossy Oak Shadow Grass","United States","","","","","","","","","","","","",""
"MCN-MTPFWCFWD-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Tactical Camo Form Protective Camouflage Wrap - Digital Woodland","MCN-CMFM-17","","8","4","2.5","0.4","Gear Aid","Digital Woodland","United States","","","Fabric Wrap","MRW","","","(1) Digital  Tactical Camo Form - Woodlands","","","","","",""
"MCN-MCFSRHDFW-STD-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Camo Form Protective Fabric Wrap Self-Cling Winter Hunting - Snow","MCN-CMFM-13","","8","4","2.5","0.21","Gear Aid","Snow","United States","","","Fabric Wrap","CF-S","","","(1) Snow Camo Form Wrap","","","","","",""
"MCN-MTCFRHFWDD-STD-DSRTDGTL-E2","MCN-CAMOFORM-EBAY2-PARENT","Tactical Camo Form Reusable Heavy-Duty Fabric Wrap for Hunting - Desert Digital","19413-501","","8","4","2.5","0.21","Gear Aid","Desert Digital","China","","","Patented","19413-501","","","(1) Desert Digital  Tactical Camo Form Reusable Heavy-Duty Fabric Wrap","","","","","",""
"MCN-MCFMCWRHDFW-STD-CM-E2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Tactical Camo Form Protective Camouflage Wrap - Multicam","MCN-CMFM-11-532","","2","4","2.5","0.21","Gear Aid","MultiCam","United States","","","Fabric","MCN-CMFM-11-532","","1","(1) Multicam Camo Form Wrap","","","","","",""
