"sku","parent.sku","name","age_range_description_amazon","blade_material_type_amazon","capacity_amazon","character","character_amazon","fabriccareinstruction_walmart","handle_material_amazon","item_shape_amazon","model_name_amazon","number_of_items_amazon","occasion_type_amazon","occasion_walmart","pattern_name_amazon","power_source_type_amazon","recommendeduse_walmart","shape_walmart","style","style_amazon","theme_amazon","theme_walmart","type_of_tool","voltage_amazon"
"26C-WHTCOOKTOOLS-14PC-BUN","26C-COOKTOOLS-PARENT","Beille 14pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","14 Piece Set","14 Piece Set","","","",""
"26C-WHTCOOKTOOLS-19PC-BUN","26C-COOKTOOLS-PARENT","Beille 19pc Wheat Straw Kitchen Utensil Set Peeler Cutter Grater Spoons and Cups","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","19 Piece Set","19 Piece Set","","","",""
"26C-WHTCOOKTOOLS-4PCTOOL-BUN","26C-COOKTOOLS-PARENT","Beille 4pc Wheat Straw Kitchen Utensils Peeler Pizza Cutter Scoop and Grater","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","4 Piece Tool Set","4 Piece Tool Set","","","",""
"26C-WHTCOOKTOOLS-5PC-BUN","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Cooking Kitchen Utensils Set Spoons Spatulas Ladle, 5pc","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","5 Piece Set","5 Piece Set","","","",""
"26C-WHTLADLE-YJJ-74597-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Ladle with Stainless Steel Handle Kitchen Utensils, 13 Inch","adult","","","","","","stainless steel","","","","","","","","kitchen, cooking","","Ladle","Spoon","","","",""
"26C-WS10PCCUPS-YJJ-74613-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Measuring Cups Spoons Set Cooking Baking Tools 10pc","adult","","","","","","","","","","","","","","kitchen, cooking","","10 Piece Measuring Cups","10 Piece Measuring Cups","","","",""
"26C-WSSLOTTED-YJJ-74595-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Slotted Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","","","","","","","","","","","","","","","","","","","","","",""
"26C-WSSPAT-YJJ-74596-72","26C-COOKTOOLS-PARENT","Beille Cream Wheat Straw Spatula with Stainless Steel Handle Kitchen Utensils, 13 Inch","adult","","","","","","","","","","","","","","kitchen, cooking","","Spatula","Spatula","","","",""
"4SN-4PCSTICKERS-HELLO-66620","4SN-4PCSTICKERS-PARENT","Hello Kitty 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","Kid","","","Hello Kitty","Hello Kitty","","","","","","","School Supplies","","","crafts, art, school","Rectangle","","","","Stationery","",""
"4SN-4PCSTICKERS-MINNIE-66621","4SN-4PCSTICKERS-PARENT","Minnie Mouse 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","Kid","","","Minnie Mouse","Minnie Mouse","","","","","","","School Supplies","","","crafts, art, school","Rectangle","","","","Stationery","",""
"4SN-4PCSTICKERS-SPIDER-66608","4SN-4PCSTICKERS-PARENT","Spiderman 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","Kid","","","Spiderman","Spiderman","","","","","","","School Supplies","","","crafts, art, school","Rectangle","","","","Stationery","",""
"4SN-4PCSTICKERS-STARWARS-66600","4SN-4PCSTICKERS-PARENT","Star Wars 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","Kid","","","Star Wars","Star Wars","","","","","","","School Supplies","","","crafts, art, school","Rectangle","","","","Stationery","",""
"4SN-4PCSTICKERS-TOYSTORY-66616","4SN-4PCSTICKERS-PARENT","Toy Story 4pc Cute Sticker Sheets Kids Stationery Art Supplies Ages 3 and Up","Kid","","","Toy Story","Toy Story","","","","","","","School Supplies","","","crafts, art, school","Rectangle","","","","Stationery","",""
"4SN-CINCHBAG-TS-SA","4SN-CINCHBAG-PARENT","Toy Story Star Adventurer Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Toy Story","Toy Story","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-BEAUTYTOOLKIT-9PC-BUN","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc","adult","","","","","","","","","","","","","","pedicure, manicure, nail care","","","","","","",""
"4SN-BLACKHEADREMOV-3PC-71219","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Blackhead Remover Tool Facial Cleanser Pore Cleaner Travel Case - 3pc","adult","","","","","","","","","","","","","","skin care, pore cleaner","","","","","","",""
"4SN-BLE-UTENSILSET-2PC","4SN-BLE-UTENSILSET-PARENT","Beille 2pk Kitchen Gadgets Y Peeler and Lancashire Peeler Cooking Tools Set","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","Peeler Set","","","","",""
"4SN-BLE-UTENSILSET-4PC","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadgets Cooking Baking Supplies Meal Prep Tools (Many Options)","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","4 Piece Set","","","","",""
"4SN-BLE-UTENSILSET-BOTL","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Bottle Opener Wooden Handle Cooking Tool Home Goods","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","Bottle Opener","","","","",""
"4SN-BLE-UTENSILSET-BRSH","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Basting Brush Wooden Handle Cooking Tool Home Goods","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","Basting Brush","","","","",""
"4SN-BLE-UTENSILSET-LANC","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Lancashire Peeler Wooden Handle Cooking Tool","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","Lancashire Peeler","","","","",""
"4SN-BLE-UTENSILSET-YPEEL","4SN-BLE-UTENSILSET-PARENT","Beille Kitchen Gadget Pastel Y Peeler Wooden Handle Cooking Tool Home Goods","adult","","","","","","","","","","","","","","cooking, kitchen, baking","","Y Peeler","","","","",""
"4SN-CINCHBAG-AVG","4SN-CINCHBAG-PARENT","Marvel Avengers Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Avengers","Avengers","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-MARVEL-KAWAII-BUN","4SN-CINCHBAG-PARENT","Marvel Kawaii Avengers Kids Unisex 18 Inch Cinch Bag Backpack Drawstring Tote","Kid","","","Kawaii Avengers","Kawaii Avengers","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-MICKEYMOUSE-BUN","4SN-CINCHBAG-PARENT","Mickey Mouse Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Mickey Mouse","Mickey Mouse","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-MINNIMOUSE-1928-BUN","4SN-CINCHBAG-PARENT","Minnie Mouse Since 1928 Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Minnie Mouse","Minnie Mouse","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-MINNIMOUSE-BOW-BUN","4SN-CINCHBAG-PARENT","Minnie Mouse Polka Dot Bow Kids 18 Inch Cinch Bag Backpack Drawstring Tote","Kid","","","Minnie Mouse","Minnie Mouse","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-PAW","4SN-CINCHBAG-PARENT","Nickelodeon Paw Patrol Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Paw Patrol","Paw Patrol","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-PAW-WAL","4SN-CINCHBAG-PARENT","Nickelodeon Paw Patrol Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Paw Patrol","Paw Patrol","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-PRIN","4SN-CINCHBAG-PARENT","Disney Princess Girls 18 Inch Cinch Bag Kids Travel Backpack Drawstring Tote","Kid","","","Princess","Princess","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-SPIDERMAN","4SN-CINCHBAG-PARENT","Marvel Spiderman Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Spiderman","Spiderman","","","","","","","","","","school, travel, kids","","","Spiderman","","","",""
"4SN-DUALNAILBRUSH-70066","4SN-BEAUTYTOOLKIT-PARENT","Beille Nail Brush for Cleaning Fingernails Dual-Sided Nail Scrub Beauty Tool","adult","","","","","","","","","","","","","","pedicure, manicure, nail care","","","","","","",""
"4SN-EYETOOLKIT-2PC-71209","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Eyelash Curler and Tweezer Set Eye Makeup Eyebrow Tool Set - 2pc","adult","","","","","","","","","","","","","","makeup, eyelashes, eyebrows","","","","","","",""
"4SN-NAILCLIPSET-3PC-71213","4SN-BEAUTYTOOLKIT-PARENT","ToolTreaux Nail Clipper Set with Emery Board Nail File Travel Manicure Kit - 3pc","adult","","","","","","","","","","","","","","pedicure, manicure, nail care","","","","","","",""
"4SN-CINCHBAG-SUPRMAN-BUN","4SN-CINCHBAG-PARENT","DC Comics Superman Kids Unisex 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Superman","Superman","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-SUPRMAN-CAPE","4SN-CINCHBAG-PARENT","DC Comics Superman Cape Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Superman","Superman","","","","","","","","","","school, travel, kids","","","Superman","","","",""
"4SN-CINCHBAG-TS-SR","4SN-CINCHBAG-PARENT","Toy Story Space Ranger Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Toy Story","Toy Story","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-YODA-PRECARG-BUN","4SN-CINCHBAG-PARENT","Baby Yoda Precious Cargo Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Baby Yoda","Baby Yoda","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-CINCHBAG-YODA-UNKNOWN-BUN","4SN-CINCHBAG-PARENT","Baby Yoda Species Unknown Kids 18 Inch Cinch Bag Travel Backpack Drawstring Tote","Kid","","","Baby Yoda","Baby Yoda","","","","","","","","","","school, travel, kids","","","","","","",""
"4SN-DOVEHANDSOAP-BLU","4SN-DOVEHANDSOAP-PARENT","Dove Go Fresh Cream Moisturizing Beauty Bar Soap Fig Orange Blossom Scent 4.75oz","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-DOVEHANDSOAP-EXF","4SN-DOVEHANDSOAP-PARENT","Gentle Beauty Bar Hand Soap Exfoliating Cream for Soft Skin 4.75oz","Adult","","","","Finding Dory","","","","","","","","","","hand cleansing, personal hygiene, bathroom cleanser, womens bathrooms, kitchen soap","","","","","Personal Hygiene, Cleaning, Soap","",""
"4SN-DOVEHANDSOAP-PNK","4SN-DOVEHANDSOAP-PARENT","Dove Pink Deep Moisturizing Cream Beauty Bar Hand Soap Facial or Body 4oz","Adult","","","","Christmas Stocking","","","","","","","","","","hand cleansing, personal hygiene, bathroom cleanser, womens bathrooms, kitchen soap","","","","","Personal Hygiene, Cleaning, Soap","",""
"4SN-DOVEHANDSOAP-REJ","4SN-DOVEHANDSOAP-PARENT","Dove Go Fresh Beauty Bar Rejuvenate Soap Hand Body Cream for Soft Skin 4.75oz","Adult","","","","","","","","","","","","","","hand washing, personal hygiene, bathroom, kitchen soap","","","","","Personal Hygiene, Cleaning, Soap","",""
"4SN-DOVEHANDSOAP-WHT","4SN-DOVEHANDSOAP-PARENT","Dove Original Formula Cream Moisturizer Beauty Bar Hand and Facial Soap 4.75oz","Adult","","","","Christmas Stocking","","","","","","","","","","hand cleansing, personal hygiene","","","","","Personal Hygiene, Cleaning, Soap","",""
"4SN-GARDENTOOL-HOE","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Hoe Cultivator Combo Gardening Tool","Adult","","","","","","","","","","","","","","gardening","","","","","","",""
"4SN-GARDENTOOL-RAKE","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Triple Claw 3 Prong Garden Rake Cultivator","Adult","","","","","","","","","","","","","","gardening","","","","","","",""
"4SN-GARDENTOOLS-3PC-BUN","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Tools Set Rake Shovel Hoe 3 Pieces","Adult","","","","","","","","","","","","","","gardening","","","","","","",""
"4SN-GARDENTOOL-SHOV","4SN-GARDENTOOLS-PARENT","ToolTreaux Wooden Steel Handheld Garden Round Point Shovel Trowel Tool 14 Inch","Adult","","","","","","","","","","","","","","gardening","","","","","","",""
"4SN-LSPEEDSTICK-PDF","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Powder Fresh","Adult","","","","","","","","","","","","","","long lasting deodorant, anti-perspirant, womens toiletries","","","","","personal hygiene, gym, deodorant","",""
"4SN-LSPEEDSTICK-SBL","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Shower Fresh","Adult","","","","","","","","","","","","","","long lasting deodorant, anti-perspirant, womens toiletries, womens odor protection, post-work out cleanser","","","","","personal hygiene, gym, deodorant","",""
"4SN-LSPEEDSTICK-SBL-NEW","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Spring Blossom","Adult","","","","","","","","","","","","","","","","","","","","",""
"4SN-LSPEEDSTICK-WLF","4SN-LSPEEDSTICK-PARENT","Lady Speed Stick Womens Invisible Dry Deodorant Antiperspirant Wild Freesia","Adult","","","","","","","","","","","","","","long lasting deodorant, anti-perspirant, womens toiletries, womens odor protection, post-work out cleanser","","","","","personal hygiene, gym, deodorant","",""
"4SN-PINCHBOWL-47332-12PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 12pc","Adult","","2","","","","","round","","","","","classic","","cooking, baking","Round","","pinch bowl","","Kitchen","",""
"4SN-PINCHBOWL-47332-2PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 2pc","Adult","","2","","","","","round","","","","","classic","","cooking, baking","Round","","pinch bowl","","Kitchen","",""
"4SN-PINCHBOWL-47332-4PC-IH","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowls Ramekin Kitchen Essential, 4pc","Adult","","2","","","","","round","","","","","classic","","cooking, baking","Round","","pinch bowl","","Kitchen","",""
"4SN-PINCHBOWL-47332-8PC-BUN","4SN-PINCHBOWL-47332-PARENT","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essential, 8pc","Adult","","2","","","","","round","","","","","classic","","cooking, baking","Round","","pinch bowl","","Kitchen","",""
"4SN-SAVBANK-AVG-15267-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Marvel Avengers Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Avengers","Avengers","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","","",""
"4SN-SAVBANK-BAT-15281-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","DC Comics Batman Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Batman","Batman","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","","",""
"4SN-SAVBANK-FRZN-VAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Frozen 2 Tin Piggy Bank Money Learning Savings Tools for Kids","Kid","","","Frozen","Frozen 2","","","","","","","","","","piggy banks, savings banks, learning about money","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-JOJO-24635-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Nickelodeon JoJo Siwa Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","JoJo Siwa","JoJo Siwa","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","","",""
"4SN-SAVBANK-LIO-15283-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney The Lion King Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Lion King","The Lion King","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-LOL-15268-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","LOL Surprise Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","LOL Surprise","LOL Surprise","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","","",""
"4SN-SAVBANK-MIC22201-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Mickey Mouse Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Mickey Mouse","Mickey Mouse","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-MIN-22202-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Minnie Mouse Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Minnie Mouse","Minnie Mouse","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-PAW-15272-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Nickelodeon Paw Patrol Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Paw Patrol","Paw Patrol","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","","",""
"4SN-SAVBANK-SPIDERMAN-VAR","4SN-SAVBANK-CHARACTER-PARENT","Spiderman Tin Piggy Bank Learning Savings Tools for Kids, Assorted Designs","","","","Spiderman","Spiderman","","","","","","","","","","piggy banks, savings banks, learning about money","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-SPIDERMAN-WAL-VAR","4SN-SAVBANK-CHARACTER-PARENT","Spiderman Tin Piggy Bank Learning Savings Tools for Kids, Assorted Designs","","","","Spiderman","Spiderman","","","","","","","","","","piggy banks, savings banks, learning about money","","","","music","dress up, pretend play","",""
"4SN-SAVBANK-TS4-15282-CHARVAR","4SN-SAVBANK-CHARACTER-PARENT","Disney Pixar Toy Story 4 Kids Tin Piggy Bank Learning Savings Tools for Kids","","","","Buzz","Toy Story 4","","","","","","","","","","piggy banks, savings bank, early learning","","","","music","dress up, pretend play","",""
"4SN-SPORTSBOTTLE-GRY","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Grey","Adult","","8oz","","","","","","","","","","","","hiking, water","","","","","","",""
"4SN-SPORTSBOTTLE-PURP","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Purple","Adult","","8oz","","","","","","","","","","","","hiking, water","","","","","","",""
"4SN-SPORTSBOTTLE-TEA","4SN-SPORTSBOTTLE-PARENT","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration - Teal","Adult","","8oz","","","","","","","","","","","","hiking, water","","","","","","",""
"4SN-TOUCHWATCH-AVG-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Avengers LED Display Digital Touch Screen Watch for Kids - Black","Little Kid","","","Avengers","Avengers","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-BAT-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Batman LED Display Digital Touch Screen Watch for Kids - Black","","","","Batman","Batman","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-BBY-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Baby Yoda LED Display Digital Touch Screen Watch for Kids - Black","","","","Baby Yoda","Baby Yoda","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-BLP-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Black Panther LED Display Digital Touch Screen Watch for Kids - Black","","","","Black Panther","Black Panther","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-FRZ-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Frozen 2 LED Display Digital Touch Screen Watch for Kids - Pink","Little Kid","","","Frozen 2","Frozen 2","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-HLK-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Hello Kitty LED Display Digital Touch Screen Watch for Kids - Pink","","","","Hello Kitty","Hello Kitty","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-JOJ-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed JoJo Siwa LED Display Digital Touch Screen Watch for Kids - Pink","Kid","","","JoJo Siwa","JoJo Siwa","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-JOJ-56920-AMZ","4SN-TOUCHWATCH-56920-PARENT","Licensed JoJo Siwa LED Display Digital Touch Screen Watch for Kids - Pink","Kid","","","JoJo Siwa","JoJo Siwa","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-LAS-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Lilo and Stitch LED Display Digital Touch Screen Watch for Kids - Blue","Kid","","","Lilo and Stitch","Lilo and Stitch","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-LAS-56903-AMZ","4SN-TOUCHWATCH-56920-PARENT","Licensed Lilo and Stitch LED Display Digital Touch Screen Watch for Kids - Blue","Kid","","","Lilo and Stitch","Lilo and Stitch","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-LOL-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed LOL Surprise LED Display Digital Touch Screen Watch for Kids - Pink","Kid","","","LOL Surprise","LOL Surprise","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-MAR-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Super Mario LED Display Digital Touch Screen Watch for Kids - Blue","","","","Super Mario","Super Mario","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-MIC-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Mickey Mouse LED Display Digital Touch Screen Watch for Kids - Black","","","","Mickey Mouse","Mickey Mouse","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-MIN-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Minnie Mouse LED Display Digital Touch Screen Watch for Kids - Pink","","","","Minnie Mouse","Minnie Mouse","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-PRP-56920","4SN-TOUCHWATCH-56920-PARENT","Licensed Disney Princess LED Display Digital Touch Screen Watch for Kids Purple","","","","Princess","Princess","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-SPI-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Spiderman LED Display Digital Touch Screen Watch for Kids - Blue","","","","Spiderman","Spiderman","","","","","","","","","","","","","","","","",""
"4SN-TOUCHWATCH-STW-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Star Wars LED Display Digital Touch Screen Watch for Kids - Black","Kid","","","Star Wars","Star Wars","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-SUP-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Superman LED Display Digital Touch Screen Watch for Kids - Blue","Kid","","","Superman","Superman","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-TS4-56903","4SN-TOUCHWATCH-56920-PARENT","Licensed Toy Story 4 LED Display Digital Touch Screen Watch for Kids - Blue","Kid","","","Toy Story 4","Toy Story 4","","","","","","","","","","time, learning","","","","","","",""
"4SN-TOUCHWATCH-WWM-56919","4SN-TOUCHWATCH-56920-PARENT","Licensed Wonder Woman LED Display Digital Touch Screen Watch for Kids - White","","","","Wonder Woman","Wonder Woman","","","","","","","","","","","","","","","","",""
